ra,dec,period,Vmag,e_Vmag,Icmag,e_Icmag,E(B-V),source,main category,class,V-Ic,e_V-Ic,bmag,e_bmag,rmag,e_rmag,imag,e_imag,period_fo,vamp,e_vamp,bamp,err_ampb,ramp,e_ramp,iamp,e_iamp,vamp_sec,e_vamp_sec,bamp_sec,e_bamp_sec,gmag,bpmag,rpmag,bp-rp
40.1465,-34.374444,0.548637,21.246,0.06,,,,Braga,RRLyrae,,,,21.554,0.027,21.101,0.151,20.808,0.078,0.409558,0.45,0.07,0.51,0.03,,,0.44,0.08,0.17,0.06,0.22,0.03,,,,
40.209208,-34.7265,0.70601409,20.81,0.03,,,,Braga,RRLyrae,,,,21.195,0.017,20.507,0.03,20.347,0.078,0.52689212,0.42,0.05,0.43,0.03,0.46,0.1,,,0.14,0.03,0.2,0.02,,,,
39.359148675119386,-34.68664522458764,0.9654801970894626,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.125057220458984,20.188068389892575,19.43610000610352,0.7293949127197266
39.53022464142409,-34.85643697788188,0.4871532021100461,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.365596771240234,20.371313095092773,20.08039093017578,0.2611293792724609
39.74595010955122,-34.3357019462011,0.6629742119473261,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.526721954345703,,,0.8962841033935547
39.77506906568405,-34.50053389164413,,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.605512619018555,20.311359405517575,19.30452537536621,0.9936237335205078
39.80951301247788,-34.323897358241624,,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.80146789550781,20.64354515075684,20.033246994018555,0.5591964721679688
39.8177778434832,-34.40114619975032,0.5543225450938517,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.8682918548584,,,0.0405998229980468
39.82246992038019,-34.77671233602462,0.4931983987747576,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.475725173950195,20.440147399902344,19.950166702270508,0.3641242980957031
39.88852936272337,-34.03372494704404,0.5922167794359958,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,19.967758178710938,19.918174743652344,19.47268295288086,0.2841529846191406
39.95325068121703,-34.26174566508598,,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.591920852661133,,,0.2806320190429687
40.04860776210966,-34.30087110116871,0.5039329191851567,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.327699661254883,20.315034866333008,19.77996635437012,0.4728260040283203
40.07767028960989,-34.25355856510415,0.8273347818548958,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.08006858825684,20.15474319458008,19.50236701965332,0.4864540100097656
40.20202954857941,-34.292512521354745,0.5910043458347974,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.09430503845215,20.20376968383789,19.54080009460449,0.505126953125
40.20569990163159,-34.33679380539272,0.5619894649519652,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.961631774902344,,,0.1873931884765625
40.4541847971949,-34.065911241043764,0.777765889985308,,,,,,Gaia,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,20.761699676513672,20.36593437194824,18.956809997558597,0.5836334228515625
39.94713438890217,-35.22280919439741,344.0669985271197,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,13.978967666625977,14.888110160827637,13.043734550476074,1.8443756103515625
40.05922431155184,-34.974525169438785,96.3467483370064,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,16.630084991455078,17.648990631103516,15.622291564941406,2.0266990661621094
39.731093667468514,-34.8212998734477,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,16.78711700439453,17.980379104614258,15.715837478637695,2.2645416259765625
39.73748433744038,-34.776124140681894,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.99854278564453,19.775739669799805,16.748233795166016,3.027505874633789
39.37211132010084,-34.827278594812995,238.4967433661654,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.736242294311523,19.065223693847656,16.593311309814453,2.471912384033203
40.0975920083159,-34.722941694923044,217.2207789665188,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.415990829467773,18.71170425415039,16.2970027923584,2.414701461791992
40.05196984535728,-34.65160975440666,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.466421127319336,18.71261215209961,16.378707885742188,2.333904266357422
40.28458553491118,-34.59792382727458,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.578210830688477,18.935508728027344,16.431663513183594,2.50384521484375
40.21766763261018,-34.6230778636626,240.7859200700253,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.60663604736328,18.85721778869629,16.50674057006836,2.3504772186279297
40.201666733022655,-34.593493419274445,235.31216873689323,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,16.739849090576172,17.82920265197754,15.716264724731444,2.1129379272460938
39.936897559290216,-34.64924985522106,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.24193000793457,18.28367042541504,16.20110511779785,2.0825653076171875
39.89334485116567,-34.620606811605825,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.18625259399414,18.46988677978516,16.11612319946289,2.3537635803222656
39.88244758960507,-34.61111140819935,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.48783302307129,18.754636764526367,16.312870025634766,2.4417667388916016
39.90574913275525,-34.607475335815735,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.86314582824707,19.64509391784668,16.657243728637695,2.9878501892089844
39.99318145887369,-34.60596417446071,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.2724552154541,18.512466430664062,16.18317413330078,2.329292297363281
40.03791120149019,-34.57770075932899,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.370431900024414,18.762426376342773,16.25776481628418,2.5046615600585938
40.04239592463811,-34.556069176383225,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,18.57878875732422,20.06176376342773,17.259153366088867,2.802610397338867
39.97490767526717,-34.57343258429409,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.041833877563477,18.030311584472656,15.974681854248049,2.0556297302246094
40.022419551347134,-34.53837853513087,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.562259674072266,19.2146110534668,16.371091842651367,2.8435192108154297
40.011405024189216,-34.53024398800997,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,18.04664421081543,19.75118064880371,16.813791275024414,2.937389373779297
39.81024761069094,-34.661577142472495,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.484094619750977,18.86266326904297,16.364294052124023,2.4983692169189453
39.85096605767006,-34.63412203625143,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.244304656982422,18.32790946960449,16.214950561523438,2.1129589080810547
39.79478832603531,-34.65546527523712,154.13842192358317,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.673425674438477,18.92240333557129,16.514423370361328,2.407979965209961
39.83622552899607,-34.55084329994743,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.46830177307129,18.73898124694824,16.23231315612793,2.5066680908203125
39.90291152140382,-34.50686860573554,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,18.084014892578125,19.61966323852539,16.897666931152344,2.721996307373047
39.95482590985826,-34.523280765442,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.23036766052246,18.328937530517575,16.20344352722168,2.1254940032958984
39.84551552890692,-34.469373398819016,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.54813575744629,18.86776351928711,16.380172729492188,2.487590789794922
40.0651226890984,-34.56749194761692,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.525102615356445,19.06810188293457,16.370946884155273,2.697154998779297
40.04915724273989,-34.545950285580496,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.375703811645508,18.562009811401367,16.324989318847656,2.237020492553711
40.104396049972095,-34.482893007289,242.89877224711026,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.433130264282227,18.71303367614746,16.34483528137207,2.36819839477539
40.13014515208489,-34.47894230912425,293.67939997218537,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,18.138978958129883,19.543724060058597,16.897850036621094,2.6458740234375
40.06063648611157,-34.51139241738404,620.4712512553997,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.44195556640625,18.57191276550293,16.317983627319336,2.2539291381835938
40.05037793076209,-34.44041021996761,348.3844702520395,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,18.89887046813965,20.56273460388184,17.55263328552246,3.010101318359375
40.20853338671759,-34.43280273341249,171.47754588618054,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.357805252075195,18.60895347595215,16.283023834228516,2.325929641723633
40.0105138192953,-34.461830605586,260.3643081068696,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.775310516357422,19.232702255249023,16.533824920654297,2.6988773345947266
40.023093323905904,-34.46200219054759,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.46858787536621,18.787595748901367,16.366710662841797,2.4208850860595703
39.98004181907049,-34.424002415783185,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.276906967163086,18.639209747314453,16.172504425048828,2.466705322265625
39.99426705622715,-34.424429532258365,635.9638822600601,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.237165451049805,18.45497131347656,16.150625228881836,2.3043460845947266
40.02778962161231,-34.389517835968945,416.43665537121257,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.935863494873047,19.797780990600582,16.643970489501953,3.153810501098633
40.00392262253681,-34.37868282476731,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.318870544433594,18.566085815429688,16.22053337097168,2.345552444458008
39.97760770246053,-34.37851831755331,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.430599212646484,18.643390655517575,16.37188148498535,2.2715091705322266
40.005697889485205,-34.338593163730465,,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.41370964050293,18.647172927856445,16.34530258178711,2.301870346069336
40.07938989380027,-34.31293075903283,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.41693687438965,18.727113723754883,16.306640625,2.420473098754883
40.362608013128174,-34.36875253541264,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.52492904663086,18.77467918395996,16.431068420410156,2.3436107635498047
40.44164770835014,-34.29102506190015,,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.425012588500977,18.622169494628903,16.35325050354004,2.268918991088867
40.22219630406831,-34.20365916043136,243.82981612136518,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,17.89914894104004,18.98169708251953,16.645915985107422,2.3357810974121094
39.74291332552707,-34.53660538764293,203.29082852358746,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,17.573246002197266,18.800655364990234,16.482255935668945,2.318399429321289
39.91919458319663,-34.33746082357777,163.27980828109654,,,,,,Gaia,LPV,CStar,,,,,,,,,,,,,,,,,,,,,,16.944231033325195,18.3942985534668,15.806978225708008,2.587320327758789
40.64235619691927,-33.76603543664327,541.6615975281364,,,,,,Gaia,LPV,O-rich Star,,,,,,,,,,,,,,,,,,,,,,9.19480037689209,11.784485816955566,7.745113372802734,4.039372444152832
