ra,dec,period,Vmag,e_Vmag,Icmag,e_Icmag,E(B-V),source,main category,class,V-Ic,e_V-Ic,bmag,e_bmag,rmag,e_rmag,imag,e_imag,period_fo,vamp,e_vamp,bamp,err_ampb,ramp,e_ramp,iamp,e_iamp,vamp_sec,e_vamp_sec,bamp_sec,e_bamp_sec,gmag,bpmag,rpmag,bp-rp
40.173,-34.624639,0.521983,21.395,0.053,,,,Braga,RRLyrae,,,,21.73,0.026,21.149,0.026,20.91,0.096,0.388316,0.48,0.06,0.59,0.04,0.43,0.04,0.32,0.14,0.16,0.06,0.38,0.03,,,,
40.173458,-34.581222,0.52670853,21.481,0.077,,,,Braga,RRLyrae,,,,21.737,0.037,21.236,0.047,20.921,0.065,0.392743,0.41,0.08,0.55,0.05,0.48,0.08,,,0.28,0.08,0.34,0.03,,,,
40.191083,-34.602139,0.553059,21.32,0.066,,,,Braga,RRLyrae,,,,21.67,0.033,21.057,0.053,20.815,0.111,0.412474,0.48,0.08,0.57,0.05,0.4,0.06,0.56,0.16,0.28,0.06,0.39,0.04,,,,
40.196458,-34.223583,0.555996,21.357,0.072,,,,Braga,RRLyrae,,,,21.61,0.036,21.054,0.125,20.811,0.046,0.414848,0.27,0.07,0.44,0.04,0.46,0.16,,,0.13,0.07,0.25,0.03,,,,
40.20225,-34.494389,0.54165,21.264,0.059,,,,Braga,RRLyrae,,,,21.554,0.031,21.063,0.059,20.836,0.08,0.404115,0.43,0.07,0.48,0.03,0.28,0.07,0.32,0.08,0.21,0.06,0.29,0.03,,,,
40.216458,-34.533667,0.498119,21.41,0.066,,,,Braga,RRLyrae,,,,21.72,0.033,21.151,0.064,20.972,0.063,0.370932,0.5,0.06,0.56,0.05,0.37,0.06,0.38,0.08,0.27,0.07,0.36,0.04,,,,
40.217958,-34.139806,0.54971323,21.363,0.071,,,,Braga,RRLyrae,,,,21.666,0.042,21.162,0.111,20.772,0.078,0.412955,0.27,0.07,0.49,0.06,,,0.31,0.25,,,,,,,,
40.224083,-34.311167,0.487233,21.37,0.07,,,,Braga,RRLyrae,,,,21.652,0.035,21.221,0.063,20.916,0.079,0.362768,0.45,0.07,0.58,0.05,0.3,0.14,,,0.37,0.06,0.46,0.04,,,,
40.228708,-33.999028,0.5617074,21.284,0.07,,,,Braga,RRLyrae,,,,21.589,0.033,,,20.922,0.023,0.408014,0.55,0.08,0.6,0.06,,,,,,,,,,,,
40.229083,-33.96375,0.53191,21.339,0.061,,,,Braga,RRLyrae,,,,21.637,0.024,,,20.898,0.055,0.383964,0.39,0.08,0.53,0.04,,,,,0.21,0.04,0.28,0.03,,,,
40.235458,-34.140611,0.49306662,21.42,0.074,,,,Braga,RRLyrae,,,,21.734,0.047,21.395,0.121,20.979,0.077,0.36752424,0.58,0.08,0.66,0.07,,,,,0.34,0.07,0.44,0.06,,,,
40.242583,-34.269306,0.523418,21.297,0.067,,,,Braga,RRLyrae,,,,21.597,0.033,21.086,0.144,20.84,0.079,0.390698,0.42,0.07,0.57,0.05,0.35,0.12,0.29,0.09,0.18,0.07,0.22,0.03,,,,
40.245792,-33.960639,0.540367,21.337,0.059,,,,Braga,RRLyrae,,,,21.643,0.023,,,20.942,0.052,0.402273,0.35,0.04,0.49,0.04,,,,,,,0.25,0.03,,,,
40.24725,-34.311194,0.5049,21.473,0.075,,,,Braga,RRLyrae,,,,21.831,0.04,21.145,0.176,20.95,0.095,0.376046,0.37,0.08,0.41,0.04,,,0.36,0.08,0.24,0.07,0.53,0.04,,,,
40.263333,-34.11525,0.54737635,21.424,0.069,,,,Braga,RRLyrae,,,,21.773,0.031,21.117,0.189,20.922,0.059,0.396154,0.36,0.07,0.41,0.04,,,0.25,0.11,0.27,0.07,0.43,0.03,,,,
40.267583,-34.220917,0.551835,21.331,0.069,,,,Braga,RRLyrae,,,,21.632,0.037,21.014,0.194,20.827,0.134,0.411924,0.41,0.07,0.49,0.04,,,,,0.29,0.07,0.28,0.03,,,,
40.271417,-34.32525,0.54750661,21.255,0.062,,,,Braga,RRLyrae,,,,21.599,0.034,20.959,0.178,20.744,0.126,0.40852607,0.38,0.06,0.47,0.04,,,,,0.23,0.06,0.19,0.03,,,,
40.279375,-34.199583,0.50599117,21.376,0.062,,,,Braga,RRLyrae,,,,21.666,0.026,21.12,0.08,20.782,0.069,0.381963,0.43,0.07,0.48,0.04,,,,,,,0.21,0.02,,,,
40.279917,-34.343778,0.489733,21.519,0.072,,,,Braga,RRLyrae,,,,21.753,0.028,21.347,0.215,21.113,0.111,0.364928,0.51,0.07,0.58,0.04,,,0.38,0.14,0.15,0.06,0.25,0.02,,,,
