diaObjectId,dec,ra,i_psfFluxErrMean,i_psfFluxLinearSlope,i_psfFluxMAD,i_psfFluxMax,i_psfFluxMean,i_psfFluxMeanErr,i_psfFluxMin,i_psfFluxNdata,i_psfFluxSigma,i_psfFluxStetsonJ
604070657507983387,-34.47513355352114,40.63441438731482,267.262,-440.31786706575866,375.08,1880.99609375,366.3409118652344,153.3767852783203,-3113.133056640625,3.0,2781.415283203125,6.559981065741887
604070657507983388,-34.46558897927534,40.65868902380575,704.895,-2546.901105319543,2210.14,19001.0078125,8842.896484375,406.91204833984375,-9885.8916015625,3.0,16077.869140625,16.74451728003271
604070657507983389,-34.45910495287687,40.68173442171172,550.492,311571.4190740272,333.557,-7264.9287109375,-7594.3232421875,389.2337341308594,-7932.04296875,2.0,471.7210083007813,-0.5153297248031468
604070657507983390,-34.53168126430532,40.5997563465384,433.16,-276.6899293261737,1509.32,-1678.67138671875,-3043.159423828125,305.2294006347656,-4697.30712890625,2.0,2134.497802734375,4.034408530870155
604070657507983393,-34.54850047182562,40.5915869529519,376.975,-547.8125275752471,2989.1,8908.5517578125,6015.29736328125,266.4590148925781,2930.356201171875,2.0,4227.22265625,10.447394857370668
604070657507983395,-34.48418888269031,40.6647528877629,383.124,-460.45322631483697,2512.4,8732.2001953125,6287.04541015625,270.8368835449219,3707.406982421875,2.0,3553.0654296875,8.544610354891724
604070107752169721,-34.622466297236,40.31453499951677,360.766,-196438.16965836447,107.491,-1833.8603515625,-1933.7861328125,254.6256866455078,-2048.8427734375,2.0,152.01552834371967,-0.9069788208552416
604070657507983362,-34.50296195000347,40.63327168282768,588.856,-961.5212918901804,2508.39,5931.23095703125,1425.5491943359375,339.6533203125,-5816.0439453125,3.0,6186.6455078125,7.624217004820896
604070657507983363,-34.49939252844126,40.63248857126597,667.059,-1542.2780160413197,3587.05,9470.1162109375,2330.2158203125,384.9518737792969,-9162.9638671875,3.0,9886.3681640625,10.871712993497738
604070657507983364,-34.47657201300593,40.62842549860082,580.628,-1072.5547952249017,703.355,8163.83447265625,4132.310546875,335.01788330078125,-3891.378173828125,3.0,6766.1845703125,7.53349837102679
604070657507983372,-34.52299887736481,40.61358063444145,580.402,-1051.257598287266,5737.43,2867.4189453125,-2520.44677734375,409.8343200683594,-8607.4482421875,2.0,8113.95654296875,12.996311570932589
604070726227460127,-34.47310970375146,40.55056160387249,464.32,-20377471.966962416,1608.49,6456.21826171875,4870.34521484375,328.2997131347656,3239.244384765625,2.0,2274.7440432935327,4.176360270462221
604070726227460124,-34.46975422161145,40.50494657430804,903.731,-12252079.533028573,12835.7,1982.6622314453125,-27632.720703125,450.7835083007813,-73563.3671875,4.0,33331.10011116655,29.276140516659904
604070726227460372,-34.51193285119864,40.55930573372749,416.232,-242.70954753474413,1324.66,-1603.114501953125,-2293.6123046875,266.66510009765625,-4252.43896484375,2.0,1873.3552932733687,2.9814495593351675
604070726227460123,-34.4903549051714,40.51495343514899,1225.25,77518.3064178314,13534.0,263693.625,-488032.21875,613.115966796875,-589192.1875,3.0,488553.7915567436,192.25951648203144
604070726227460371,-34.501117629030524,40.483293190683845,259.257,242.6562237346549,150.313,1556.27197265625,204.0269012451172,144.82997131347656,-1168.1092529296875,3.0,1531.375850889434,4.469208913283787
