diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ
579575325147529893,-72.60142748086184,5.248545327129509,327.672,330.4401198402585,993.368,4229.6845703125,3326.008056640625,230.98870849609372,2242.94921875,2.0,1404.8340395128832,3.4146016441858955
579575325147529852,-72.5677271099159,5.238105103383508,337.235,889.8989037094874,2675.57,2894.49853515625,571.3219604492188,236.90061950683597,-2456.6513671875,2.0,3783.834383092997,9.945883964266017
579575325147529836,-72.54044486728216,5.289216370379972,322.061,462.7993402691692,1316.6,3547.291015625,1811.6114501953125,185.22186279296875,-537.207275390625,3.0,2084.7794055557792,4.928092976271425
579575325147529470,-72.56917674724902,5.418726089549087,425.074,317.42100397430227,954.141,-2386.821533203125,-3266.13671875,299.8780822753906,-4295.1044921875,2.0,1349.359820720582,2.327980560299916
579575325147529469,-72.56003464730986,5.366777357302191,457.429,1845.0117576869973,5547.12,5535.95849609375,441.9129943847656,322.64019775390625,-5558.28759765625,2.0,7844.816645042991,15.919691573143156
579575325147529467,-72.55179337241243,5.311646970596943,341.831,758.4367207047133,2280.03,2097.389892578125,104.39884948730467,240.26617431640625,-2462.67041015625,2.0,3224.449562683057,8.279917470038603
579575325147529456,-72.56261147869387,5.329718582700753,332.63,768.631758396646,2310.27,2583.869873046875,539.3369750976562,234.03237915039065,-2036.66552734375,2.0,3267.2119143287105,8.696272577478801
579575325147529598,-72.59658223686999,5.411884590860525,483.939,1006.2448875703768,3026.69,-348.2636108398437,-3221.23681640625,341.86541748046875,-6401.63818359375,2.0,4280.382209456507,8.017700464192814
579575325147529591,-72.53542401072254,5.2935804476559705,431.88,1339.9246682194178,4422.01,9112.2958984375,4058.702880859375,248.56285095214844,-2236.517822265625,3.0,5720.29069512644,10.606836301464876
579575325147529559,-72.54261961501699,5.174492324144116,421.172,1196.0878722526274,3594.05,2709.8330078125,-335.9635009765625,295.1933898925781,-4478.26416015625,2.0,5082.752251298521,10.637056855312006
579575325147529554,-72.57554844060309,5.218934397948999,394.963,291.3938568667596,876.231,-2168.13720703125,-2941.022705078125,277.8170471191406,-3920.5986328125,2.0,1239.1773579377675,2.2465489561652827
579575325147529300,-72.53219618141722,5.412216510301146,336.601,204.00970226393997,613.263,3569.218994140625,3035.205810546875,236.51361083984372,2342.69384765625,2.0,867.2842483749251,1.706441902056921
579575325147529400,-72.54992489271399,5.294927358060003,443.249,1627.1608881813734,4889.23,4677.20556640625,310.6235046386719,312.0755615234375,-5101.263671875,2.0,6914.421908012726,14.246377272381844
579575325147529413,-72.54465380609396,5.407917466291794,555.804,461.2809807725759,1386.67,5878.35888671875,4611.41943359375,391.9110107421875,3105.017822265625,2.0,1961.0482732179223,2.668595654371821
579575325147529401,-72.54431667958345,5.274902298073819,391.517,1013.409556085782,3047.52,2655.2939453125,1.1489006280899048,275.1042785644531,-3439.75,2.0,4309.846905360478,9.75820900079139
579575325147529599,-72.59438216242809,5.426713531153463,575.44,1132.1627895709446,3402.85,-1876.1995849609373,-5091.02001953125,406.4308776855469,-8681.9013671875,2.0,4812.357880945774,7.525018379627445
579575325147529398,-72.53180776487251,5.188355671960455,1505.51,8261.367266849871,24838.8,59508.48046875,29536.279296875,1047.238525390625,9830.7841796875,2.0,35127.43591972188,20.59023814716401
579575325147529395,-72.53634427999248,5.205143002210229,1092.43,39606540.10334384,16404.8,59259.765625,43444.79296875,772.0882568359375,26450.263671875,2.0,23199.82131840796,20.31326333130202
579575325147529394,-72.54793037839647,5.259686649437668,401.386,1117.470389356092,3360.89,3436.598388671875,551.8007202148438,281.6714782714844,-3285.1875,2.0,4753.020383563927,10.481143243260204
579575325147529390,-72.57373906600402,5.386096903633656,528.135,527.151761950629,1584.81,-4082.1884765625,-5572.30615234375,372.94720458984375,-7251.8173828125,2.0,2241.2660934542746,3.423605817321947
579575325147529732,-72.53741283873919,5.400599282280816,355.808,673.2395841218262,2023.91,1875.84130859375,65.30255889892578,250.54151916503903,-2171.974609375,2.0,2862.2380845905527,7.031162202986965
579575325147529728,-72.56921549720819,5.256405473983178,409.565,1580.7673578310669,4752.82,4826.98193359375,663.0345458984375,287.9299011230469,-4678.6484375,2.0,6721.495694853189,14.89505807537946
579575325147529726,-72.57465477953969,5.205953635903251,365.199,232.46964081805407,699.1,5014.72900390625,4416.291015625,256.2119140625,3616.529296875,2.0,988.676494294841,1.8107059794567693
579575325147529642,-72.59098967665881,5.334436542202727,476.652,524.350129806262,1576.45,-2455.0869140625,-3877.893798828125,335.8391418457031,-5607.98681640625,2.0,2229.436901349669,3.785738215531085
579575325147529618,-72.56199936575148,5.365525308461159,342.357,756.1977855157992,2273.96,2460.56103515625,437.3857116699219,240.97415161132807,-2087.363037109375,2.0,3215.8679518205613,8.306439786607282
579575325147529617,-72.56962971746131,5.346143171450634,484.992,270.06415658653896,811.401,-4064.839599609375,-4814.66748046875,342.1986999511719,-5687.64208984375,2.0,1147.4946453711427,1.6220856574582745
579575325147529601,-72.58885245429705,5.409804311812317,455.543,524.8926426131341,1576.57,-1616.976806640625,-3091.561767578125,321.6112365722656,-4770.1083984375,2.0,2229.600730533103,4.0652452619665285
579575325147529658,-72.56341810951884,5.342968396290705,340.372,720.4833294507952,2166.31,2025.37255859375,110.75077056884766,239.4549102783203,-2307.24169921875,2.0,3063.6209219647394,7.907585873196764
579575325147529654,-72.56297879297735,5.420972819909546,370.856,94.1412075395539,283.001,-1986.34765625,-2248.78662109375,261.7144775390625,-2552.35009765625,2.0,400.2241644865009,0.3348286461871322
579575325147529650,-72.58823995269343,5.291062696768527,450.354,419.6011635716128,1260.91,-2167.7607421875,-3294.797607421875,317.09649658203125,-4689.578125,2.0,1783.1941723008304,3.066052432498054
579575393867006191,-72.55389043007716,4.862667349975236,462.721,2530.290142233967,7605.56,8383.880859375,1466.6107177734375,326.1850280761719,-6827.22998046875,2.0,10755.879624233716,21.69512734758648
579575393867006057,-72.55554723883115,4.920897531411802,446.637,1987.081614967654,5972.04,5515.31201171875,106.62067413330078,314.7628173828125,-6428.77001953125,2.0,8445.741399345268,17.505790917792627
579575393867006058,-72.5497025628375,4.956704800820137,357.357,870.006240593878,2615.13,2155.145263671875,-215.24557495117188,251.85682678222656,-3075.112060546875,2.0,3698.350421305685,9.297091085252228
579575393867006061,-72.54680519968174,4.907279282314684,436.935,1935.4528600793187,5819.55,5704.52880859375,393.1852111816406,308.07403564453125,-5934.57275390625,2.0,8230.087641762691,17.495492262265955
