diaObjectId,ra,dec,g_psfFluxMean,r_psfFluxMean,i_psfFluxMean,g_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,g_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,g_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,g_psfFluxMAD,r_psfFluxMAD,i_psfFluxMAD,g_psfFluxNdata,r_psfFluxNdata,i_psfFluxNdata,nDiaSources,Region,Class
579577524170785196,4.096498607483385,-72.03065905480692,,-6098.15625,,,,,,0.0,,,,,,0.0,,,1.0,,1,47,RRLyrae
579578211365552184,4.304549187838606,-71.97377518923842,,-1960.0623779296875,,,7169.68017578125,,,399.817,,,18.546434754168697,,,5069.73,,,2.0,,2,47,RRLyrae
579576836976017478,4.317033012450185,-72.1620211457837,,-1832.922607421875,-3774.826171875,,6690.264918391915,,,665.83,0.0,,11.742119711863033,,,401.752,0.0,,3.0,1.0,4,47,RRLyrae
579577455451308889,4.664341401276402,-72.06620732358847,-1840.047119140625,-2714.80615234375,-1039.4501953125,,471.3504354426055,5554.205385902584,0.0,3.59966,1948.57,,0.13716045689539227,6.813222837603436,0.0,84.9136,590.871,1.0,3.0,11.0,15,47,RRLyrae
579576768256541517,4.706561503503794,-72.1607863719712,-351.8147888183594,3467.5361328125,6139.62255859375,7214.160996764318,9024.375658853573,5236.17773614545,1624.36,902.2,496.9,21.94342181081388,16.04071113994816,11.707720469162929,6037.7,4511.68,4466.91,4.0,3.0,4.0,11,47,RRLyrae
579574706672238627,4.974821469416458,-72.68337256460956,2142.08544921875,,,,,,0.0,,,,,,0.0,,,1.0,,,1,47,RRLyrae
579578142646075468,5.071179933249168,-71.95734464898077,-318.7541198730469,1428.50537109375,277.2137756347656,5481.891778576951,4901.401100570066,3668.2641417604113,1273.29,2076.91,660.736,15.145142092982098,11.109544020776948,4.9867995104106875,696.331,784.354,164.782,5.0,10.0,8.0,23,47,RRLyrae
579577386731835638,5.2056460338084145,-72.05265816016988,70.71099090576172,6450.6728515625,9362.88671875,6297.010996213136,5291.908990300193,413.2206789528051,3565.67,3231.38,3.29229,20.021568706930246,13.141464380825495,-0.21943719941841797,4489.78,1830.17,380.698,9.0,11.0,5.0,25,47,RRLyrae
579576699537065428,5.2392919513744225,-72.20123078424257,-6651.66796875,-20628.712890625,-4769.8046875,15075.114800893594,17029.130709134446,14307.235592484816,16333.0,34483.3,14866.7,41.97571597040731,40.44830108804274,30.638295972837327,2719.12,11374.9,5669.12,9.0,18.0,13.0,40,47,RRLyrae
579578073926600498,5.277358417657144,-71.94380220193338,-2225.6669921875,1381.4847412109375,1036.8985595703125,,3749.134998818813,4952.353716127018,0.0,282.74,149.485,,8.456158118093775,11.525350123326254,0.0,726.786,3501.84,1.0,3.0,2.0,6,47,RRLyrae
