decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxLinearSlope,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ,iPSFluxSkew
-44.6528035,1249097985711670767,991.6034178,675.7604813,16.3146494,3868.6444174,8334.5971259,-2162.5797601,167.4469952,-10068.593696,16.0,5498.8631495,6.424775,0.4733893
-44.5473861,1249097985711670455,3991.1646085,520.0661172,12.1314529,6536.7484709,36634.0991935,6314.2057182,209.1946477,-5276.3183281,6.0,15415.8379251,21.6491856,1.6539833
-44.6024884,1249097985711670448,112.0976907,571.5200514,1.7663022,1452.2405635,4756.3439114,2311.8245173,146.5099151,-596.3911076,15.0,1607.6581701,1.7168054,-0.2066401
-44.5685397,1249097985711670604,98.9586087,721.0788273,-4.3017516,2231.8922064,3776.2075135,529.9920085,267.5658749,-3598.1078044,7.0,2742.6823117,2.5140602,-0.5884809
-44.4965203,1249097985711670640,103.4664076,697.0574102,-3.2216219,1065.1800244,4562.9060997,1883.0346359,282.7804838,-3584.0170105,6.0,3109.5702321,2.664675,-1.4858863
-44.5687505,1249097985711670554,77.2859785,546.3098408,8.7444583,653.2691969,2974.502159,-172.114421,242.9000632,-3724.4003151,5.0,2429.2463511,2.713991,-0.7591049
-44.4760668,1249080393525624847,3229.9826177,431.9296211,0.8236313,2524.0426022,6569.8078016,456.2729439,63.3847986,-5703.1512378,45.0,3685.8676268,7.2894883,-0.2530553
-44.5087067,1249080393525624850,1113793.9520445,1712.7409844,12.0780315,13460.8772453,61447.8706503,-86061.426546,229.5276916,-1042020.1387507,55.0,246014.4880669,101.5644351,-2.1239945
-44.4773171,1249080393525624855,1607005.9954012,1441.6105791,137.964645,4172.7908733,45651.2137785,-42965.0210229,160.3439239,-953590.3481494,79.0,143383.6074305,38.8700492,-4.7223325
-44.5381734,1249080393525625170,218535.8382968,944.2970308,390.5654227,223993.5029316,634383.7084436,319358.9913455,402.4943304,117451.0023497,5.0,217261.3638395,200.3294162,-0.0114685
-44.5382117,1249080393525624840,6374.235708,544.3203394,18.8075345,24277.0408912,63860.4796005,33441.4699218,312.1127605,5036.8928642,3.0,29560.8212019,45.9078501,-0.5141159
-44.4859694,1249080393525624874,9719.1502634,446.2977035,-7.425997,6586.6029457,-12570.3838169,-43654.3441134,166.98163,-70146.1076942,7.0,19036.5339971,31.0380429,0.4013144
-44.4859156,1249080393525624870,4131.2292654,472.3573912,5.5778979,10077.2663108,3365.7448519,-17682.2739439,233.6819111,-36633.9691071,4.0,16478.7621341,28.2051832,-0.3717405
-44.5221189,1249080393525624868,273.9321836,714.9485833,-1.5900967,1722.5414214,4048.1769686,169.2032737,141.9640732,-4546.3013778,25.0,2342.3189836,2.363742,-0.0447004
-44.5383405,1249080393525624866,302726.0352875,702.1430587,-303.9599289,116126.4336244,367317.5713654,26057.7492423,292.5861792,-91746.5409294,5.0,211886.7908943,237.6208006,0.5122396
-44.5223852,1249080393525624863,96.7046285,683.1953021,-0.5719569,1149.5531767,3201.80388,79.7731918,188.6929918,-2270.3002969,13.0,1938.9674765,1.9964761,0.5611159
-44.5741648,1249080393525625180,6792.6470773,447.8087301,-2.3163297,9276.6711256,34353.101857,16582.1421575,169.0886495,-12896.3464651,7.0,15423.3836364,25.1352106,-1.1114902
-44.5686301,1249080393525625178,5717.4314585,473.5336711,29.9570654,18968.9204319,-51654.7311884,-76052.1126441,271.0968102,-101814.6214418,3.0,25326.8998333,43.4065893,0.7051279
-44.5855545,1249080393525625177,6194525.5758281,1371.2642963,-3.2088282,433086.5179449,3285961.7442864,452303.331693,227.5156105,-42240.3517323,28.0,893739.019172,388.0677904,1.6496285
-44.611512,1249080393525625176,117.4087395,869.4506437,-4.3149784,1295.6032263,5623.2061866,1092.1705694,198.8224678,-3759.3328759,19.0,2260.4075913,1.3362639,-0.0923212
-44.5741673,1249080393525625192,4371.3607636,516.9918795,-76.410074,20203.120497,7169.4486523,-15290.5240142,298.4522955,-41023.8071644,3.0,24201.2522377,37.6493059,-0.4770892
-44.5221506,1249080393525625203,5.2019149,569.7557118,-2.5652054,137.2225249,-3000.3093141,-3530.4890402,327.1426676,-4721.9083551,3.0,956.8160938,0.3181469,-1.6920587
-44.5157542,1249080393525624958,83.1184675,548.8973182,0.9784597,719.6635221,621.393329,-1242.2352787,180.5501192,-3572.7979012,9.0,1676.7050108,1.9055474,-0.782787
-44.5328167,1249080393525625034,265973.2957326,748.173438,71.1913922,130767.5658345,296982.0065591,68817.2895877,241.1361936,-87971.3253345,9.0,136160.8087973,157.9331376,-0.0780581
-44.4760796,1249080393525625031,36.4007226,390.1253031,3.2697058,894.2068045,4705.9682453,2908.9368959,194.127306,1825.7888901,4.0,1378.3811855,2.4760663,0.5030808
-44.5897849,1249080393525624961,70.696778,1118.2478743,-3.6601677,2688.3386683,10777.7464677,5611.4879526,321.8181411,1564.6497264,12.0,2862.3239584,1.5925769,0.3092515
-44.5668327,1249080393525624963,247.7004785,660.8853924,-1.478221,2052.8205568,4545.237589,-1294.119618,159.0853592,-4960.0929171,17.0,2656.1312082,2.5891403,0.7250972
-44.4846426,1249080393525624927,108.1504759,517.397551,2.1576018,1063.947351,2816.8409332,1084.2821888,170.465429,-2163.203486,9.0,1767.9749191,2.5216974,-0.9577941
-44.4854291,1249080393525625045,69214.8083995,524.4607124,130.0951344,20345.0896249,105922.3629233,-11564.0958734,207.347413,-53611.2825313,6.0,67102.605848,86.5427976,1.0999466
-44.5709878,1249080393525624940,124.0266113,724.6731914,-0.36431,1464.8259014,4959.0249174,1848.3803343,216.1119665,-2579.3412934,11.0,2484.2182579,2.4795132,-0.6612058
-44.5225131,1249080393525624967,316.9160509,1038.1100137,-2.1769562,3143.8392171,7273.8720014,-209.215513,202.5258121,-5332.4509534,26.0,3613.8162584,2.6336851,0.4395182
-44.6085156,1249080393525624946,50.3949336,566.6232567,-9.7303797,1763.3916778,1870.6480227,-835.7536315,281.6156778,-2867.1217695,4.0,2286.0985398,3.381416,0.1826248
-44.5325817,1249080393525624948,167128.5127758,786.5487411,-409.4641587,30934.5144839,257286.4969478,121083.0754303,308.2980951,-52029.9549349,6.0,122218.266645,137.1824645,-1.386348
-44.5502666,1249080393525624991,100.1775996,513.6877546,-2.5789542,453.0555362,2337.6474153,-243.758516,204.5330297,-4207.8599667,6.0,2116.3511064,2.1990214,-0.8432144
-44.4846658,1249080393525624997,80.5318661,471.5373159,8.9104663,445.3920694,2646.2807837,-1071.9962676,206.9736978,-2397.5967283,5.0,2125.4623443,2.3090393,1.5778237
-44.538374,1249080393525624974,484600.822978,713.8629314,16.6108069,86467.2571065,492501.3633217,39454.32484,210.7914802,-78296.0598576,10.0,193138.0431549,205.4729578,0.9930062
-44.485504,1249080393525625024,474.7403503,502.1318331,-1.5013018,6935.0198484,-26219.4060859,-33498.8552069,284.5819845,-42791.1989035,3.0,8322.5217607,12.1582462,-0.4812454
-44.5510651,1249080393525624972,7771576.2479215,1444.0619599,-212.1165751,532446.9704304,3154994.5620764,542803.6346421,225.8286651,-35633.9423651,32.0,887749.8356925,416.3108687,1.1175128
-44.5645596,1249080393525624969,948879.5964299,1637.2315095,326.0809684,61952.1699985,437091.1100774,209247.8257004,270.7284114,-587564.6867802,36.0,245073.9388527,132.2354279,-1.646457
-44.5359329,1249080393525624968,261.9931742,1037.6234933,1.3672476,1286.5942745,154.2857437,-7792.5398091,165.8046198,-13953.8195011,39.0,2741.0947785,1.2799041,0.2859781
-44.568737,1249080393525625105,14703.1652097,576.7066861,-55.1622887,15540.6663665,23378.4382503,-36188.9974891,250.9976503,-62754.2764223,5.0,34686.1031116,42.3587994,1.5934
-44.538079,1249080393525625104,27878.0245452,708.0551461,68.1208875,42159.9516294,5603.2756754,-66371.0006621,283.7054298,-137219.2797293,6.0,54587.0461177,69.2035146,0.0759644
-44.5849557,1249080393525625103,184.0496628,517.7348753,-0.9796901,1065.2025854,2152.6455542,-2105.5786964,124.3377083,-5107.1318071,17.0,1785.5416857,2.4187674,0.5877592
-44.5328542,1249080393525625100,1319215.8217877,899.4862384,66.9144158,23712.9876738,1141010.4564135,-80225.799937,251.8591965,-224536.4532674,10.0,534808.2936897,199.7936857,1.7665156
-44.539492,1249080393525625095,29.6783192,417.7028941,-0.9022601,206.5420986,86.1822814,-1821.0897354,169.134208,-2526.1694168,6.0,1005.9080546,0.7258789,1.677384
-44.5055512,1249080393525624891,445.5439264,940.2284156,2.5336964,2988.1480016,6942.8310604,981.6295533,186.8231245,-7133.5111662,25.0,4033.143635,3.1968435,-0.4574416
-44.5200804,1249080393525624890,247.9516419,960.542152,-0.5821634,1361.83629,1644.7168079,-2803.7400166,148.9730284,-9085.4579726,41.0,2396.929017,1.2650292,-0.1979175
