decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ,gPSFluxSkew
-44.4721773,1249080393525624877,237.2220748,543.5313556,-0.5648018,1234.0272495,6771.7525763,2875.2258604,124.3696659,-1246.5532304,19.0,1980.2802656,2.4672285,0.1669543
-44.5100037,1249080393525624875,1514.9854691,699.6014301,0.5836738,5291.9753737,2254.2081049,-9107.4875775,152.1684645,-19078.0106771,21.0,6072.2199875,6.6970426,0.0817229
-44.4939175,1249080393525624871,367.8669025,303.8409038,1.6447753,781.0569589,1942.5284558,154.23689,71.0719808,-2739.2526512,18.0,1407.6548472,3.3687588,-0.5510192
-44.5168689,1249080393525624880,682636.0339385,1450.886844,1004.5533768,308127.9533139,2385041.7740998,1536575.6559751,790.5878897,929487.7078291,3.0,767047.060719,505.6305961,-1.4229516
-44.5532961,1249062801339581665,1988.8842733,255.6275301,143.6210378,7950.5388155,-35645.0376356,-43876.1911346,147.5504593,-51725.9583727,3.0,8040.6279751,25.408887,0.0335483
-44.5647644,1249071597432604547,239.0251505,282.2867283,11.8440186,1658.9413765,1691.0436156,-1218.3757913,138.5792598,-4492.6285903,4.0,2536.4809681,6.4179776,0.0831005
-44.5589933,1249062801339581372,11.5232284,208.1091039,1.6716239,296.7112031,1109.7844482,650.1313946,118.5422767,160.4436516,3.0,485.6629271,1.4740812,1.0336773
-44.5955869,1249062801339581320,8068.576577,261.0785082,-69.0816699,13441.708196,24954.5049019,7356.4498959,148.393847,-8763.3286721,3.0,16973.9657539,51.7243838,-0.5930824
-44.5784824,1249062801339581337,9.0873774,119.654442,-3.9649482,206.1658823,628.7746446,376.1977498,68.0636718,108.3725943,3.0,262.0645704,1.260782,0.6068825
-44.5247098,1249942410641801363,54.1491121,424.8299111,0.7838381,755.7500528,1654.1519413,-723.3570606,173.3215892,-2442.0490568,6.0,1424.0852971,2.303415,0.7081561
-44.5287759,1249942410641801311,339.8782269,585.8265718,0.7475254,1430.6605062,2123.8166571,-2258.6430467,123.6474386,-6767.0698652,22.0,2441.1881185,2.9730759,-0.2460404
-44.5516162,1249942410641801352,22149.6495791,344.1757257,79.9131918,11290.4315937,-43652.0255436,-84678.0116308,167.778813,-110541.6965522,4.0,28430.9961696,62.6253053,1.285531
-44.6281324,1249942410641801344,460.5253399,698.1959868,-3.7872022,4180.4354857,6934.3064821,866.7199929,215.919333,-8269.041061,10.0,4972.9831393,5.6747308,-0.4201255
-44.5169587,1249942410641801349,488.1631524,636.1121155,3.0982208,2316.7040852,2162.6112402,-1904.1245597,153.1396582,-9684.0271318,17.0,3554.2991312,4.1958993,-0.833699
-44.5076506,1249942410641801324,40.6307592,231.972412,-0.1328746,158.6383134,-532.6472544,-1552.9341401,61.0087175,-2142.993819,14.0,429.106337,0.3900208,1.0434978
-44.5543484,1249942410641801427,165.4323442,660.1249436,2.3081658,792.3855136,1754.0404752,-803.7610917,181.9649686,-6234.4374859,13.0,2443.6674058,2.010043,-1.2101746
-44.4832653,1249942410641801425,102.2360494,231.6805655,1.1392757,522.6381595,1213.2535473,267.2334119,75.1389073,-952.4683284,9.0,733.2984507,2.5316288,-0.5382861
-44.5011349,1249942410641801412,1.6982044,134.3780309,0.1061126,78.9671615,-634.7867064,-723.1996349,66.2436286,-825.9832337,4.0,98.8809468,-0.6358358,0.0879569
-44.4842497,1249942410641801433,147.0853705,237.9153168,3.1411022,991.7579252,1945.8156097,-273.4696769,135.1963932,-2034.1155608,3.0,2071.7390138,6.4154846,1.2963227
-44.5335728,1249942410641801432,430.5583457,581.609276,3.2757011,1916.7603504,617.8997787,-4468.8245214,148.4281247,-9881.1846989,15.0,3285.7104185,4.2272741,-0.0774525
