decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ,rPSFluxSkew
-44.5184844,1249546586455803100,192424.5148567,530.1604561,138.7908112,52375.7915391,224879.1075594,43986.8915488,234.8615258,-48886.2175934,4.0,113433.5798696,196.9153547,-0.8606458
-44.6128068,1249546586455803103,24.0283619,227.2420472,-2.1268262,466.1724256,1132.6852444,611.958112,110.6106023,-37.9955469,4.0,605.8925177,1.8954603,-0.1298672
-44.5235976,1249546586455803121,22446.1250684,343.0163538,157.7332898,33497.9856716,48274.0937981,3654.4411001,194.9233388,-27036.7057694,3.0,37731.8233976,86.5597898,0.3287661
-44.5584797,1249546586455803123,9790.0769352,344.0586955,5748.7779387,20219.040373,47736.3695241,21246.1616011,194.5573745,1618.7694684,3.0,23117.0140162,57.950715,-0.3660569
-44.4786978,1249546586455803711,68.5127162,272.3525828,-12.6320558,353.8905399,1363.8694472,-492.933307,154.3167032,-1585.1133161,3.0,1610.1884724,3.8254667,1.6384023
-44.5888693,1249546586455803613,106.443972,565.7108763,-31.403816,1769.0479915,2712.045538,-1448.1120584,235.9700699,-4924.8597097,4.0,3618.4944771,4.7336777,0.9849919
-44.4758597,1249546586455802217,86.9257831,377.0629497,7.7463709,818.9755814,2520.1025402,921.8020543,184.0561722,-1689.2251606,4.0,1880.8685281,3.7903968,-1.2849114
-44.5234214,1249546586455802214,82815.530263,404.1819528,-169.0828466,17749.8523229,107941.7698638,44429.8547271,170.4555302,-11935.1697773,5.0,49901.6871949,127.2870881,-1.0714196
-44.5583087,1249546586455802225,29620.6893176,344.8914026,21.751721,15116.5832888,77462.8099236,16923.8595446,151.7220659,-3775.3757493,5.0,33375.8984623,65.4456239,1.5169887
-44.5229074,1249546586455802224,29357.7638866,344.5403812,0.4741406,7998.9060455,60594.678736,-3023.7427453,167.3428563,-20479.9192236,4.0,38062.2715107,73.0363547,1.8081505
-44.4759764,1249546586455802606,108.0092134,330.4221268,-4.6975895,383.8933206,1369.9509113,-829.5224559,161.0819616,-2380.1515509,4.0,1777.5212747,3.8246156,1.7758909
-44.5586689,1249546586455802262,8490.539649,295.5036059,14.5878489,10301.785855,25926.171406,-1298.3733986,165.8886061,-14931.5904617,3.0,21249.1222043,49.9867126,1.285432
