decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.4788481,1249546586455802005,58.4984978,327.9103945,0.496071,107.7157625,1547.9935164,696.6085153,185.7660394,-1843.6667542,3.0,1927.8335686,2.877631
-44.504611,1249546586455802056,23576.396878,344.8648986,53.353224,16595.2357038,54299.1422928,6597.7804862,168.9720665,-14142.6968093,4.0,31625.2707361,73.3040638
-44.5184093,1249546586455802001,104211.9166991,494.4180361,63.9018923,31522.2491446,241180.4138473,68342.8283492,213.7146334,15592.9331832,5.0,92839.193389,121.4967711
-44.5041824,1249546586455802003,50914.6262811,346.3517112,24.2251197,6775.9543563,53770.1939968,-10501.8267376,113.8623305,-48237.8190163,9.0,30149.8147308,57.3870521
-44.4883752,1249546586455802004,71037.3813355,493.5797469,-23.6545042,21348.1089782,149698.7887184,79484.5447193,240.6282357,-1855.543857,4.0,67544.3156373,114.2775911
-44.4882504,1249546586455801956,368860.2896864,574.6121481,-201.4089307,56570.1610949,307693.6102319,76531.914967,220.1909179,-8579.3862129,5.0,163395.9306156,278.1833187
-44.5452734,1249546586455802029,0.2470418,182.7053389,0.0866392,64.415747,-964.9784933,-1019.2072322,127.9696526,-1093.8099872,2.0,91.097623,-0.8673451
-44.5580755,1249546586455802026,3465.7982101,261.9781114,12.3834089,5097.5121982,-19225.5590832,-28899.623594,150.1726956,-39626.4773093,3.0,10617.4096899,33.044596
-44.5009258,1249546586455802098,17.7294026,624.4044965,-9.739578,1860.4399937,677.8603413,-1040.436111,440.5521415,-3043.0196461,2.0,2631.0594711,3.3651754
-44.6524406,1249071597432603711,16.7978083,330.1030552,-0.559233,360.1881419,2438.5024382,1506.1718119,123.3195774,572.1108783,7.0,591.0129429,0.5753345
-44.589967,1249071597432603488,18.2391623,506.7536851,1.9312998,977.8087775,4981.5024156,3480.4957752,251.3730664,2245.6041901,4.0,1218.1418985,1.7668296
-44.6211844,1249062801339582391,16.4850214,209.0559158,18.9079905,212.3934597,1182.424966,800.0632816,119.1403301,-20.0791749,3.0,641.8003781,1.5308843
-44.5953395,1249062801339582393,15038.8312559,281.807609,442.5121605,15355.4844337,30329.4785443,5116.8571911,137.0826973,-12224.2635079,4.0,19393.9218639,62.3577006
-44.4855477,1249071597432603487,54.7367384,289.5626119,7.0259999,1517.5926999,1454.9272449,119.7102528,203.637095,-1580.258155,2.0,2146.2001784,6.3751555
-44.6533844,1249071597432603712,421.214351,643.3172228,-8.0557551,2299.1782201,5288.346838,-55.4681846,154.349378,-7441.405086,17.0,3254.5802243,3.5824186
-44.617782,1249062801339582256,0.1073424,177.0671021,-0.2573259,41.1881222,-841.4991045,-875.3089198,123.6812263,-923.8753488,2.0,58.248801,-0.9447434
-44.5211938,1249071597432603702,18680.9741587,414.1835944,7.1778147,15053.1583458,-22049.4545639,-71370.3465948,180.0615161,-97761.0196328,5.0,29348.1920142,55.2475925
-44.4708911,1249071597432603406,0.1775346,313.2206235,0.0242385,4.2249484,1789.4026501,1656.7080882,175.615618,1612.9010096,3.0,100.7057909,-0.9535253
-44.5522063,1249071597432603417,76953.9299424,489.1600072,-410.9850198,841.8943117,189604.4338648,32709.3080468,268.6476053,-3117.6848456,3.0,111025.9311614,125.839533
-44.6156875,1249071597432603722,162696.4038031,564.3551934,10.4886494,51521.6185768,278875.0303412,142450.647902,218.8669267,25152.8665842,6.0,89406.8532632,136.274302
-44.6297981,1249071597432603723,162.6754894,253.1322272,6.3131374,741.8928942,2195.9030034,32.1461196,122.0845903,-1770.1667243,4.0,1763.9216571,5.8494968
-44.5524228,1249071597432603390,5875.6418647,428.8239786,-5822.9774227,23314.4853812,23716.3597006,-3236.2195233,300.4313403,-22912.6110618,2.0,32971.6614258,70.7800852
-44.6216739,1249071597432603391,3280997.0162477,1270.2256481,-486.5275943,195532.483836,617336.7941543,216120.3064162,193.2273226,-514428.5449249,41.0,318593.3298125,218.7801446
-44.5429529,1249071597432603384,40301.3412099,372.8938415,-49.1009998,29480.9549288,7019.1441263,-60843.1638026,179.1280698,-92346.5410134,4.0,45340.4292787,101.0607877
-44.5153725,1249071597432603383,171263.7014606,1004.1943726,10922.8347427,299929.0815317,298970.5342887,-118622.8835031,666.6463349,-300887.6287747,2.0,424163.7748522,350.2221151
-44.4997792,1249071597432603451,674061.8944185,973.7994786,-384.2935536,162513.4643667,1147305.4734326,312029.2218055,312.6521151,114045.445921,9.0,333948.148806,225.806443
-44.536137,1249062801339582439,77.3731191,559.3021181,29.6647674,3486.4251363,3005.7607852,-20.0503754,392.8814943,-3967.0894875,2.0,4930.549712,7.6697893
-44.523254,1249062801339582229,3877.6164304,294.867629,23.8712904,837.2334148,-4311.2308009,-20065.6628895,146.7973251,-26199.8076699,4.0,10578.6058067,22.3216952
-44.6275304,1249071597432603597,283.9684271,622.1467428,-3.8765344,907.9870961,1638.1044684,-3472.8742106,132.2830973,-10715.8905493,22.0,2261.1534295,1.6298262
-44.6427218,1249071597432603676,15393.1826852,1007.6664702,-39.2096456,3666.7784658,33608.4690694,10533.3884988,236.3597393,-86775.3117643,18.0,25600.9166205,11.1180171
-44.6286539,1249071597432603603,187197.1872914,181.7419472,6.7832402,223.9838931,38326.7258608,-1612.9431353,25.9697649,-6493.7742096,38.0,16194.8203556,40.1798268
-44.6336854,1249071597432603600,118.6069733,326.7258009,1.0038188,436.8246397,1761.5626545,-561.7649753,101.428113,-2098.5581855,10.0,1050.2551533,1.8814085
