decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.5777592,1252994654920507713,230.4503666,374.1166201,-3.723135,673.2098255,759.0934709,-2557.5594983,103.0958134,-5916.8308087,13.0,1642.157593,2.924968
-44.5129602,1252994654920507721,0.0876663,160.8833284,-0.1542939,33.6968036,867.768422,832.1519221,113.623076,800.3748148,2.0,47.6544767,-0.9551576
-44.4794656,1252994654920507705,7.7340652,293.2998351,3.1583837,579.5174418,-336.2231081,-1027.984517,204.4371481,-1495.2579918,2.0,819.5614259,1.8433713
-44.5626931,1252994654920507591,74.0628056,211.8693261,-0.4359609,355.4861695,1499.3843488,739.1842805,70.2041531,-448.3868506,9.0,635.5732713,1.8172748
-44.5841322,1252994654920507592,320.8213696,467.0864386,-3.9592439,787.0568549,-2208.1416181,-4222.3707258,134.3310221,-10747.4999188,12.0,2415.542749,2.6832614
-44.574948,1252994654920507593,26819.1716368,351.9997273,-192.784931,14179.1052265,-27382.3736446,-62633.4559366,200.5020593,-100294.0707219,3.0,38658.0736311,92.797696
-44.5413872,1252994654920507595,19.2516998,193.1262665,-0.2221587,251.4942936,1318.2495327,975.5751314,85.854349,222.0928951,5.0,446.058532,1.1561657
-44.5783788,1252994654920507597,363397.7925175,728.3279307,-344.4993599,57850.1354366,644248.331332,151042.1046521,282.6211529,-31542.3119765,6.0,228388.8449785,189.8206679
-44.4766175,1252994654920507635,108.4790676,161.5417857,1.1410694,839.9506562,981.5431304,-63.9194065,79.0065738,-963.3852596,4.0,987.0582319,5.4621019
-44.563764,1252994654920507637,3.8879347,196.3783021,0.3631434,155.0326117,1104.6511457,874.262207,113.3362879,568.1608603,3.0,276.0938529,0.4824528
-44.5404458,1252994654920507617,56.986941,272.3089864,3.046078,810.427846,1231.8811234,-226.907942,135.609836,-1383.6265964,4.0,1165.9344325,3.5148649
-44.5702482,1252994654920507626,9.6250895,257.6870676,0.1707144,342.5444979,604.6086998,48.4607141,127.9428172,-539.1901198,4.0,478.1702758,0.7221931
-44.5562537,1252994654920507630,2.5032568,142.6850262,0.2158121,159.910059,-631.1180174,-772.1610123,100.3642468,-950.9381355,2.0,226.1469742,1.1607078
-44.6386419,1252994654920508297,51.0628702,280.164928,51.5853689,1415.6835369,-8943.4015234,-10335.7111317,198.0862668,-11774.7685971,2.0,2002.0788578,6.4508273
-44.5748023,1252994654920508258,52372.601766,463.9816345,-295.4602119,35425.9734548,183420.9609129,111630.3995011,261.2713462,48662.0218172,3.0,69859.3936948,133.8999157
-44.6008594,1252994654920508265,38486.6710669,332.0122852,-13.0746274,16442.6245822,-12549.4014603,-67978.8828754,130.6442865,-95120.2361187,6.0,32632.9401644,70.2530023
-44.6425793,1252994654920508251,433920.7433941,996.3779196,439.4941098,82379.6648295,751918.8052687,295385.7154104,346.037815,-87280.4594584,8.0,245195.1467004,176.5592459
-44.6488097,1252994654920508253,239.2199409,387.516034,-7.3162889,1844.1043077,2720.0113091,-53.034104,135.7873838,-2741.4786485,8.0,2194.7985263,4.947373
-44.5404248,1252994654920508284,6.6754234,146.0793332,1.4288998,277.9033778,-487.9324338,-616.9846191,90.8306378,-1043.7391894,2.0,393.0147259,1.4493912
-44.591675,1252994654920508275,68.946443,713.9746616,-280.0555921,4196.2545527,4330.9362616,-241.7097611,503.3287721,-4061.5728438,2.0,5934.4000996,7.3458988
-44.6228001,1252994654920508277,715565.8416044,850.1871521,334.848931,121539.0164143,1088579.4801092,399535.636089,252.9650841,146196.3806428,10.0,267801.8349313,212.4702485
-44.5423996,1252994654920508415,0.002063,112.709098,0.0705022,3.6233129,-574.6991033,-578.008453,79.4723691,-581.9457292,2.0,5.1241383,-0.9989679
-44.6211261,1252994654920508462,5446.7687046,380.7368817,-142.7415088,19916.8012246,114418.9908808,91755.1505418,267.2879765,74585.3884316,2.0,28166.6104109,68.67249
-44.5682838,1252994654920508450,2833.9327401,244.6936238,-214.8169202,9218.2214229,-1208.7383014,-9693.2726275,172.612572,-19645.1811472,2.0,13036.5337572,50.7160522
-44.6034788,1252994654920508364,25.055672,268.7915524,1.4921114,383.691223,686.7636142,-38.5653129,108.5230966,-1050.8032972,6.0,629.5137858,1.4594245
-44.4720463,1252994654920508400,50.1202178,266.656329,10.5844941,1335.2368997,1371.560432,-25.0949299,188.4047801,-1298.9133673,2.0,1888.3101325,6.2897322
