decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ
-44.5465068,1251270620688156048,0.0125666,390.3864371,0.2282733,2016.4967093,1983.2274766,275.4712685,1954.5640273,2.0,43.7930194,-0.9936967
-44.5379424,1248666977153581225,117.074997,711.3627657,-1.8251204,4256.263466,1362.6987902,234.6145021,-4344.1377055,9.0,2585.4286564,2.2401705
-44.5378982,1248666977153581316,9329.1971664,522.8470978,-107.7094434,571.9036696,-36319.8729894,369.5579436,-70856.4892053,2.0,50507.5009711,94.5226701
-44.5428194,1248666977153581332,2662842.8227422,1284.0223651,209.6607377,2617048.1534841,235941.0264271,291.1162121,-125250.3893726,15.0,878046.5237081,315.4031486
-44.5574386,1248666977153581333,0.0889324,606.1235311,-0.0844769,-3100.3150475,-3174.2159158,344.4986551,-3353.4866118,3.0,137.7087968,-0.9772966
-44.537896,1248666977153581379,88.8249546,557.9921143,18.9809277,4292.2118889,-1111.3268282,310.0239301,-3272.1373279,3.0,4111.1369106,4.3824904
-44.5943564,1248666977153581389,217.3523954,958.2436875,3.4008702,5766.1554173,561.0521248,223.117935,-5209.163445,18.0,3216.4031465,2.5151576
-44.5142937,1248666977153581370,4.5617202,620.762216,0.8359844,-2216.500943,-2790.8471121,327.7255547,-3922.7089669,3.0,862.6309142,0.7677164
-44.5799332,1248666977153581265,2.7037791,405.8743236,-84.8982132,2976.3744052,2492.5847553,286.9287442,2032.4736082,2.0,667.4386543,1.3013308
-44.5262887,1248666977153581268,80.6450116,597.4521888,-0.3178152,4324.5394271,2099.2651337,179.0367754,-919.8482801,11.0,1721.9480755,1.9323328
-44.5122699,1248666977153581241,69772.8220927,558.4236882,3.5740716,99438.9076785,26290.4284637,240.4944788,-57091.0036598,5.0,63242.2905095,109.7887934
-44.5088032,1248666977153581272,614148.3974718,945.4953985,291.2609885,762855.0316586,-46460.0211778,310.5600629,-293648.6223493,8.0,328076.9436787,241.5742619
-44.5141124,1248666977153581244,70.9344217,508.3726304,-5.7958868,2771.1316811,-1408.4883839,245.4909053,-3069.4016057,4.0,2687.0988365,2.5631757
-44.5121637,1248666977153581247,54662.5070193,551.6001519,204.4071714,80358.163817,-35470.2219118,316.457411,-86003.5168418,3.0,93949.5404933,115.9820472
-44.5473948,1248666977153581253,16.2794658,513.7509944,-0.356754,4088.9073212,2759.6655426,170.3669279,1434.0335142,9.0,741.8070238,0.2067292
-44.4925449,1248666977153581294,8.7042006,708.2249684,1.7631006,-1541.0677765,-3301.2774267,405.7086425,-4356.2676679,3.0,1469.0201559,1.0329264
-44.6031247,1248666977153581295,6031769.1723353,1686.23487,-1989.255218,1499263.5682778,393438.0010642,279.1782055,-357391.1610625,32.0,733326.3731105,407.4938204
-44.5575657,1248666977153581283,59.7834855,633.6590216,4.7444785,3247.0757112,465.2590066,441.1666424,-3717.4538875,2.0,4924.666107,6.4557796
-44.5124545,1248666977153581285,33408.1871769,548.6315824,427.0322049,120150.3926955,30377.033521,378.2154944,-22856.3495808,2.0,101121.0372189,162.6189123
