decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.5702156,1249502605990691034,254.9481943,670.2602659,1.4559134,1158.8759853,2860.0388309,-973.9285412,123.8780393,-4982.9794253,29.0,1957.0673578,1.8089108
-44.5679413,1249502605990691035,255.9581804,714.206681,-2.4539328,1498.2675331,3840.2481417,-2224.3491119,151.8429256,-6643.9289743,22.0,2515.3195641,2.309875
-44.5496388,1249502605990691163,147.0574379,721.1512906,52.73923,6203.3995328,8925.3504418,1739.4087839,505.0905717,-3481.4486237,2.0,8772.9317521,10.6971344
-44.4748641,1249502605990691151,121050.747257,656.3458902,-784.0566509,164608.6053961,332535.3167955,105198.6120505,437.4179387,3318.1060034,2.0,232791.7222344,295.5549947
-44.6114106,1249511402083714403,5.2671607,643.8089974,13.2757191,37.1310246,5823.940662,5158.5757557,369.8337381,4041.4405271,3.0,1018.5773392,0.3639546
-44.5927451,1249511402083714468,47438.1328411,312.072746,817.4257775,7431.5662982,65119.6600695,-21432.9899446,164.791362,-39822.7373525,3.0,58561.2174577,103.9724736
-44.5496044,1249511402083714466,14.569996,262.0452912,-12.0556658,157.9349388,1227.2439669,838.8746407,148.4801662,-163.1219617,3.0,761.2431724,1.0918027
-44.6113536,1249511402083714442,3.5133017,830.8744377,91.8541764,169.1462914,-4873.4280432,-5562.130725,478.8818989,-6874.5335644,3.0,1109.7378365,0.1185068
-44.646455,1249511402083714772,54.0672708,191.8123025,-338.4919006,1008.4650269,923.1547413,210.5866353,131.1127801,-1093.7753126,2.0,1426.1849183,5.874464
-44.5868502,1249511402083714815,0.4692152,300.2592013,-36.1345966,145.8909196,-1945.5486968,-2101.0426876,172.5503564,-2245.4787333,3.0,149.9834639,-0.8700895
-44.5998339,1249511402083714778,0.6375051,122.4184501,2.0078278,69.3093068,717.1624319,637.5156053,85.8350303,578.5438182,2.0,98.0181617,-0.5915975
-44.6163967,1249511402083714497,51.488764,382.7688111,33.2509676,1942.8874704,1981.2764301,147.0071466,270.3408487,-1904.4985106,2.0,2747.6578107,6.3539138
-44.6468838,1249511402083714495,14.311424,277.5180318,-10.1031162,416.811861,-1065.7221072,-1538.1214064,132.3378976,-2207.4374369,4.0,572.9200079,1.507562
-44.6237828,1249511402083714476,7.087341,189.2646622,-12.3268115,356.636512,1049.8600636,661.5448108,133.4332376,336.5870396,2.0,504.3601921,1.8284193
-44.6085504,1249511402083714865,49.2439313,281.4568547,-3031.234998,1446.1234125,1080.6613687,359.2315802,178.333235,-1811.5854562,2.0,2045.1273428,5.1580525
-44.5142251,1249511402083714859,1.2279145,272.0708211,9.3959693,216.0729707,1849.7727266,1564.1905991,184.6268393,1417.6267853,2.0,305.5733256,0.1535017
-44.6368099,1249511402083714222,68.3294895,514.7571837,-27.1081478,3012.6172696,2488.7629651,-220.5234512,362.5995288,-3536.4715741,2.0,4260.4842009,7.271771
-44.6471545,1249511402083714214,8.8451966,322.4610567,-5.9680795,698.6887673,2342.0631147,1316.8245403,207.6879476,944.6855801,2.0,988.0951306,1.8179554
-44.51454,1249511402083714243,48.4645568,299.1308259,-10.5146692,1472.8980527,1495.7528719,-44.7306541,211.3503022,-1450.0432334,2.0,2082.9924021,6.1728309
-44.5878548,1249511402083714088,125.8491907,377.0750621,11.4103436,1770.2230901,2187.2263891,-57.270491,181.3225832,-3053.8174346,4.0,2552.5983825,5.96952
-44.5934834,1249511402083714247,3298.025228,576.9664449,-34375643.9891234,23444.2290638,265063.2972359,239956.8555263,407.2064388,218174.8391084,2.0,33155.1467014,54.9772031
