decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.419867,1248710957618692113,14.494871,147.4295853,-0.4317174,82.0081459,763.4551932,522.3426778,84.5113588,3.9466425,3.0,416.8503674,1.1115635
-44.2748482,1248710957618692110,2500359.636664,680.6330416,-137.3413832,272289.3412128,1248142.4370708,151298.8079773,180.3096893,-17766.2507439,7.0,438296.8999701,587.4690038
-44.4074398,1248710957618692109,448.995738,446.7330819,-0.7055975,948.3012053,4463.2776835,-211.7812533,87.4374142,-3083.2492217,26.0,1873.9460534,2.7800383
-44.4350111,1248710957618692108,187.8602996,281.3641801,0.3479542,526.9747516,1421.3191944,68.4399505,58.4353986,-1606.6542412,23.0,807.7210797,1.756286
-44.3794258,1248710957618692107,585.3023816,361.4958555,-1.1743291,649.7555211,1927.7257398,-1805.1084725,60.0701617,-5439.5314517,36.0,1443.0905649,2.1466665
-44.4542984,1248649384967537256,202469.647647,648.1248538,-1972.6497408,161394.3310548,497174.1788324,244772.6843773,350.2458112,105491.1992124,3.0,196848.7356147,277.6004209
-44.4667441,1248649384967537259,3.2485863,146.2452215,0.3440282,189.7228034,-574.293174,-694.412683,97.9225434,-953.7387809,2.0,268.3085617,0.8552167
-44.4598908,1248649384967536962,48.3050827,141.28235,0.2175158,211.2401731,763.5612133,122.3737016,52.7030528,-330.6750134,7.0,374.1780892,1.8050088
-44.4546662,1248649384967536963,33168.8071046,568.7299281,2905.0319432,73863.9464388,283134.6907964,190291.0037298,391.9538686,135406.7979188,2.0,104459.3948241,161.9401059
-44.4668331,1248649384967536991,64.266134,136.8640204,0.2630918,305.0994533,766.8038343,-53.6008496,67.7719406,-679.1916871,4.0,600.2246765,2.746972
-44.4524609,1248649384967537079,0.6294473,88.43205,0.0805266,49.6360093,-448.5310992,-494.992111,62.4348186,-547.8031178,2.0,70.1959176,-0.6069567
-44.337482,1248710957618692210,18.3260283,168.7336663,-0.119903,167.2008863,386.1579219,26.3929096,55.2724198,-341.0036897,9.0,248.8619104,0.5044164
-44.3626588,1248710957618692556,69.9805027,142.2178325,0.8812338,531.6232268,754.8546714,-241.6491182,60.2831139,-647.0361284,5.0,563.1823387,3.0992367
-44.3169982,1248710957618692541,18491.9667297,368.3187644,1461.1179887,19173.1990707,89307.4597491,53670.0048535,182.1573939,23220.2238707,4.0,27851.6537275,64.9198961
-44.3164687,1248710957618692538,3725.2302711,422.9779047,717.5620861,18264.9925338,133507.7152941,114028.6436023,298.5942157,96977.7302265,2.0,25830.6001579,58.585322
-44.2393656,1248710957618692509,315756.7317751,662.2793753,-3385.5434252,275548.184276,680058.7396314,248413.246578,404.0935931,128962.3710793,2.0,389683.9792905,448.4630672
