galaxy,name,ra,dec,vmag,errvmag,bmag,errbmag,rmag,errrmag,imag,errimag,per_fo,per_fu,dominant_mode,ampv,err_ampv,ampb,err_ampb,ampr,err_ampr,ampi,err_ampi,ampv_sec,err_ampv_sec,ampb_sec,err_ampb_sec
F,A501639,40.123792,-34.832667,21.346,0.024,21.631,0.021,21.071,0.145,20.825,0.049,0.39631588,0.53040093,1,0.38,0.04,0.43,0.03,NaN,NaN,NaN,NaN,0.2,0.04,0.16,0.03
F,A505291,40.129625,-34.825083,21.247,0.025,21.458,0.021,21.085,0.07,21.041,0.184,0.409456,0.54836918,1,0.55,0.06,0.72,0.07,NaN,NaN,NaN,NaN,0.18,0.03,0.36,0.04
F,A508574,40.135167,-34.860528,21.268,0.027,21.543,0.023,21.124,0.215,20.997,0.038,0.390693,0.92749814,1,0.46,0.04,0.36,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,A530228,40.173208,-34.819694,21.391,0.029,21.692,0.022,20.991,0.209,21.038,0.038,0.37556043,0.45487919,1,0.37,0.07,0.45,0.04,NaN,NaN,NaN,NaN,NaN,NaN,0.19,0.03
F,C101340,39.75375,-34.698611,21.35,0.055,21.691,0.029,21.216,0.024,20.911,0.187,0.390711,0.443853,1,0.3,0.07,0.51,0.04,0.52,0.06,NaN,NaN,NaN,NaN,0.36,0.03
F,C104934,39.761375,-34.376111,21.399,0.041,21.671,0.024,21.119,0.066,20.98,0.143,0.376265,0.504611,1,0.4,0.04,0.57,0.04,0.44,0.08,NaN,NaN,0.21,0.04,0.23,0.03
F,C105611,39.7615,-34.643611,21.273,0.038,21.568,0.026,21.117,0.037,20.693,0.073,0.402288,0.538795,1,0.36,0.04,0.6,0.04,0.37,0.03,NaN,NaN,0.26,0.04,0.22,0.03
F,C108531,39.767833,-34.398722,21.329,0.04,21.637,0.024,21.051,0.04,20.936,0.194,0.386945,0.518892,1,0.45,0.04,0.47,0.03,0.37,0.07,NaN,NaN,0.23,0.04,0.23,0.03
F,C108803,39.767458,-34.637389,21.266,0.045,21.59,0.034,21.029,0.043,20.776,0.085,0.414201,0.5791228,1,0.41,0.04,0.55,0.06,0.33,0.05,0.2,0.08,NaN,NaN,0.15,0.04
F,C109496,39.770042,-34.338111,21.337,0.046,21.678,0.026,21.068,0.054,20.894,0.099,0.37757,1.0322,1,0.58,0.05,0.52,0.04,0.44,0.07,0.41,0.12,NaN,NaN,0.24,0.03
F,C113572,39.7785,-34.36825,21.169,0.03,21.513,0.023,21.006,0.039,20.729,0.049,0.404526,0.542329,1,0.34,0.03,0.44,0.03,0.32,0.07,NaN,NaN,0.23,0.05,0.29,0.03
F,C114762,39.780208,-34.55925,21.451,0.047,21.73,0.027,21.28,0.203,21.075,0.094,0.368629,0.495334,1,0.49,0.07,0.47,0.04,NaN,NaN,0.41,0.11,0.39,0.05,0.29,0.03
F,C115223,39.781542,-34.450333,21.426,0.041,21.694,0.028,21.199,0.191,20.932,0.061,0.365162,0.489709,1,0.54,0.04,0.52,0.04,NaN,NaN,NaN,NaN,0.23,0.05,0.44,0.03
F,C116457,39.78325,-34.718944,20.932,0.037,21.326,0.019,20.643,0.034,20.28,0.026,0.414059,0.554887,1,0.32,0.05,0.38,0.03,0.23,0.05,NaN,NaN,0.17,0.04,0.19,0.02
F,C116743,39.78375,-34.755667,21.365,0.042,21.629,0.026,21.154,0.1,20.903,0.042,0.377539,0.51232538,1,0.33,0.03,0.51,0.04,NaN,NaN,NaN,NaN,NaN,NaN,0.22,0.03
F,C119086,39.790042,-34.411111,21.26,0.037,21.55,0.023,20.968,0.048,20.729,0.086,0.418381,0.559401,1,0.39,0.04,0.51,0.03,0.34,0.07,NaN,NaN,0.1,0.04,0.23,0.03
F,C122045,39.796292,-34.435444,21.395,0.041,21.651,0.023,21.16,0.056,20.961,0.086,0.385575,0.516595,1,0.41,0.05,0.55,0.03,0.33,0.06,0.23,0.11,0.18,0.06,0.16,0.02
F,C122689,39.797542,-34.461944,21.348,0.051,21.653,0.026,21.112,0.14,20.847,0.104,0.380843,0.52798839,1,0.38,0.04,0.39,0.04,NaN,NaN,0.35,0.08,NaN,NaN,0.31,0.03
F,C123300,39.798208,-34.6655,21.292,0.043,21.625,0.024,21.15,0.123,20.795,0.091,0.41171884,0.55471404,1,0.48,0.04,0.37,0.03,NaN,NaN,0.36,0.1,NaN,NaN,NaN,NaN
F,C126054,39.804333,-34.574944,21.267,0.036,21.591,0.026,21.023,0.05,20.796,0.105,0.41565,0.557393,1,0.47,0.04,0.56,0.04,0.33,0.06,0.36,0.15,0.24,0.04,0.26,0.03
F,C128152,39.809458,-34.380111,21.395,0.037,21.672,0.024,21.201,0.067,20.993,0.104,0.37742,0.506208,1,0.42,0.04,0.54,0.03,0.31,0.07,0.53,0.12,0.23,0.04,0.23,0.03
F,C131434,39.816292,-34.358806,21.411,0.064,21.651,0.042,21.15,0.042,20.841,0.094,0.377936,0.536982,1,0.43,0.09,0.55,0.06,0.42,0.07,0.36,0.11,0.31,0.07,0.28,0.04
F,C132502,39.818167,-34.462306,21.34,0.048,21.663,0.027,21.185,0.046,20.969,0.082,0.387234,0.51992528,1,0.49,0.06,0.63,0.04,0.33,0.07,NaN,NaN,NaN,NaN,0.3,0.03
F,C136012,39.82525,-34.461889,21.428,0.048,21.7,0.029,21.224,0.115,20.941,0.073,0.370152,0.497056,1,0.55,0.06,0.64,0.04,NaN,NaN,NaN,NaN,0.23,0.04,0.3,0.03
F,C138955,39.830917,-34.425444,21.298,0.037,21.622,0.026,21.106,0.063,20.825,0.053,0.38645599,0.51835669,1,0.43,0.04,0.4,0.03,0.34,0.08,NaN,NaN,0.24,0.04,0.31,0.03
F,C140899,39.833958,-34.689028,21.32,0.048,21.623,0.024,21.103,0.042,20.768,0.051,0.405049,0.54298409,1,0.33,0.05,0.49,0.04,0.32,0.06,NaN,NaN,0.16,0.05,0.23,0.03
F,C141468,39.836042,-34.363111,21.393,0.051,21.795,0.031,21.336,0.054,20.991,0.081,0.360673,0.48409,1,0.61,0.06,0.53,0.04,0.54,0.09,NaN,NaN,0.15,0.05,0.3,0.03
F,C145093,39.842375,-34.515361,21.36,0.047,21.65,0.026,21.132,0.045,20.835,0.101,0.379121,0.86865827,1,0.48,0.05,0.54,0.04,0.38,0.06,0.44,0.13,NaN,NaN,NaN,NaN
F,C145355,39.842917,-34.495944,21.354,0.053,21.652,0.025,21.103,0.158,20.925,0.08,0.372578,0.50179657,1,0.51,0.04,0.52,0.04,NaN,NaN,0.37,0.08,0.11,0.06,0.2,0.02
F,C146493,39.84475,-34.580028,21.386,0.05,21.664,0.028,21.201,0.062,20.945,0.193,0.394098,0.52895917,1,0.46,0.06,0.49,0.04,0.47,0.08,NaN,NaN,0.23,0.04,0.36,0.03
F,C148892,39.848792,-34.678833,21.251,0.047,21.552,0.024,21.059,0.046,20.856,0.114,0.382269,0.36469755,1,0.48,0.06,0.52,0.04,0.32,0.06,NaN,NaN,NaN,NaN,0.18,0.02
F,C153317,39.857333,-34.555611,21.355,0.05,21.592,0.028,21.078,0.051,20.912,0.135,0.390365,0.52352,1,0.48,0.05,0.63,0.05,0.39,0.07,NaN,NaN,0.3,0.04,0.27,0.03
F,C154683,39.859625,-34.651861,21.236,0.042,21.596,0.025,21.053,0.056,20.764,0.097,0.381021,0.511808,1,0.34,0.05,0.42,0.03,0.33,0.07,0.43,0.11,0.13,0.04,0.26,0.03
F,C154687,39.860208,-34.427417,21.329,0.039,21.654,0.023,21.14,0.181,20.868,0.154,0.402161,0.5391,1,0.38,0.04,0.47,0.03,NaN,NaN,NaN,NaN,0.24,0.05,0.31,0.03
F,C155826,39.861917,-34.565222,21.28,0.041,21.588,0.024,21.071,0.139,20.819,0.087,0.409301,0.548331,1,0.34,0.05,0.45,0.04,NaN,NaN,NaN,NaN,0.16,0.06,0.25,0.03
F,C168768,39.885125,-34.560667,21.315,0.046,21.62,0.027,21.135,0.064,20.861,0.074,0.389267,0.521803,1,0.41,0.04,0.51,0.04,0.4,0.13,0.43,0.12,0.26,0.04,0.28,0.03
F,C169929,39.887125,-34.611778,21.328,0.047,21.64,0.026,21.163,0.047,20.836,0.051,0.409201,0.56080448,1,0.39,0.04,0.57,0.04,0.26,0.06,NaN,NaN,NaN,NaN,NaN,NaN
F,C169938,39.887958,-34.272722,21.336,0.048,21.693,0.025,21.105,0.041,20.838,0.083,0.389392,0.520874,1,0.45,0.06,0.43,0.03,0.29,0.06,0.23,0.1,0.13,0.04,0.22,0.03
F,C170196,39.888042,-34.427444,21.215,0.037,21.565,0.022,21.03,0.095,20.767,0.099,0.418408,0.560812,1,0.36,0.04,0.42,0.03,0.41,0.07,0.28,0.16,0.14,0.03,0.21,0.02
F,C170427,39.888042,-34.589278,21.254,0.043,21.532,0.025,21.012,0.053,20.664,0.107,0.383961,0.51460542,1,0.47,0.06,0.56,0.04,0.29,0.06,0.35,0.1,0.18,0.04,0.2,0.03
F,C173361,39.89375,-34.38175,21.267,0.049,21.622,0.024,21.105,0.079,20.832,0.103,0.399223,0.534993,1,0.4,0.06,0.45,0.03,0.34,0.17,0.42,0.12,0.16,0.04,0.22,0.03
F,C173847,39.894625,-34.38225,21.301,0.046,21.641,0.026,21.119,0.234,20.811,0.083,0.405591,0.55631066,1,0.38,0.07,0.53,0.04,NaN,NaN,0.34,0.13,0.17,0.04,0.31,0.03
F,C174865,39.896792,-34.251917,21.276,0.043,21.625,0.024,21.072,0.074,20.743,0.101,0.392755,0.5262395,1,0.41,0.04,0.39,0.03,0.31,0.06,0.42,0.1,0.17,0.05,0.18,0.03
F,C175854,39.897875,-34.555361,21.415,0.059,21.726,0.041,21.198,0.123,20.99,0.109,0.27097496,0.4990414,1,0.46,0.07,0.58,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,C176247,39.89925,-34.267778,21.447,0.058,21.755,0.028,21.132,0.084,20.96,0.088,0.35679363,0.496261,1,0.53,0.07,0.51,0.04,0.36,0.13,0.39,0.12,NaN,NaN,0.34,0.03
F,C179416,39.904583,-34.37375,21.337,0.043,21.661,0.024,21.177,0.042,20.843,0.084,0.382051,0.51474501,1,0.46,0.04,0.48,0.03,0.32,0.05,0.28,0.08,0.18,0.05,0.31,0.03
F,C179886,39.905292,-34.40175,21.315,0.041,21.589,0.022,21.003,0.138,20.737,0.093,0.405672,0.54366477,1,0.36,0.03,0.57,0.03,NaN,NaN,0.41,0.12,0.22,0.04,0.3,0.03
F,C182487,39.910125,-34.219083,21.336,0.05,21.646,0.03,21.149,0.192,20.953,0.097,0.366929,0.49183496,1,0.55,0.05,0.53,0.05,NaN,NaN,NaN,NaN,0.2,0.05,0.36,0.04
F,C182509,39.909167,-34.674583,21.272,0.048,21.552,0.024,21.057,0.043,20.861,0.099,0.392051,0.525143,1,0.43,0.05,0.53,0.04,0.32,0.06,0.26,0.1,0.13,0.06,0.16,0.03
F,C182965,39.910042,-34.631472,21.343,0.05,21.632,0.028,21.045,0.218,20.602,0.195,0.390472,0.523204,1,0.4,0.07,0.53,0.04,NaN,NaN,NaN,NaN,0.14,0.04,0.31,0.03
F,C185001,39.914,-34.403667,21.321,0.061,21.663,0.027,21.175,0.215,20.792,0.136,0.385027,0.516434,1,0.38,0.06,0.44,0.03,NaN,NaN,NaN,NaN,0.2,0.06,0.28,0.03
F,C187766,39.918167,-34.72475,21.386,0.05,21.646,0.028,21.186,0.131,20.881,0.1,0.362703,0.486956,1,0.42,0.05,0.5,0.04,NaN,NaN,NaN,NaN,0.23,0.05,0.39,0.04
F,C188190,39.91925,-34.591694,21.414,0.068,21.688,0.039,21.215,0.153,20.931,0.145,0.363032,0.32775335,1,0.54,0.07,0.68,0.05,NaN,NaN,NaN,NaN,0.2,0.07,0.34,0.03
F,C188418,39.9195,-34.652667,21.373,0.052,21.627,0.025,21.148,0.057,20.849,0.102,0.415004,0.55992034,1,0.49,0.06,0.55,0.04,0.51,0.09,NaN,NaN,0.14,0.05,0.38,0.04
F,C190157,39.922417,-34.685972,21.38,0.047,21.61,0.026,21.085,0.056,20.899,0.087,0.388468,0.52149973,1,0.35,0.06,0.49,0.04,0.34,0.08,NaN,NaN,0.34,0.07,0.42,0.03
F,C190280,39.922708,-34.639194,21.351,0.044,21.696,0.028,21.065,0.045,20.954,0.093,0.363601,0.49298381,1,0.48,0.05,0.53,0.04,0.35,0.06,0.23,0.11,0.13,0.06,0.22,0.03
F,C192662,39.927083,-34.520806,21.256,0.059,21.558,0.034,21.11,0.067,20.761,0.114,0.41223988,0.53607576,1,0.48,0.07,0.61,0.04,0.43,0.08,NaN,NaN,NaN,NaN,NaN,NaN
F,C200464,39.940542,-34.343194,21.379,0.061,21.801,0.038,21.334,0.06,21.032,0.094,0.360766,0.4811755,1,0.51,0.06,0.5,0.04,NaN,NaN,NaN,NaN,0.21,0.06,0.35,0.05
F,C202348,39.9435,-34.379778,21.299,0.061,21.565,0.029,21.074,0.053,20.819,0.102,0.3853,0.516916,1,0.37,0.06,0.5,0.03,0.32,0.06,0.4,0.14,0.31,0.06,0.33,0.03
F,C204204,39.946667,-34.3345,21.436,0.072,21.735,0.041,21.206,0.044,20.951,0.101,0.367036,0.495857,1,0.36,0.07,0.52,0.05,0.37,0.05,0.27,0.1,0.27,0.07,0.33,0.04
F,C207413,39.952583,-34.026806,21.5,0.074,21.766,0.04,21.475,0.039,NaN,NaN,0.354431,0.472949,1,0.33,0.07,0.56,0.04,NaN,NaN,NaN,NaN,0.26,0.08,0.31,0.04
F,C208036,39.953208,-34.243833,21.328,0.065,21.664,0.039,21.207,0.164,20.759,0.092,0.39021,0.523369,1,0.4,0.07,0.43,0.04,NaN,NaN,NaN,NaN,0.19,0.06,0.33,0.03
F,C208276,39.953542,-34.246278,21.257,0.064,21.614,0.036,21.106,0.06,20.812,0.082,0.414907,0.556038,1,0.51,0.07,0.54,0.04,0.45,0.07,NaN,NaN,0.3,0.06,0.32,0.03
F,C208956,39.954083,-34.521472,21.215,0.06,21.466,0.035,21.018,0.091,20.537,0.09,0.365262,0.490534,1,0.26,0.06,0.31,0.04,NaN,NaN,0.42,0.1,0.35,0.07,0.36,0.04
F,C209253,39.954958,-34.246722,21.325,0.064,21.636,0.039,21.081,0.157,20.77,0.062,0.419208,0.562084,1,0.4,0.06,0.47,0.04,NaN,NaN,NaN,NaN,0.32,0.06,0.3,0.03
F,C209478,39.955583,-34.075972,21.348,0.069,21.632,0.032,21.042,0.166,20.837,0.132,0.42259045,0.58747907,1,0.28,0.07,0.54,0.05,NaN,NaN,NaN,NaN,NaN,NaN,0.32,0.04
F,C211050,39.957375,-34.467583,21.314,0.067,21.593,0.047,21.127,0.177,20.898,0.202,0.379732,0.50978231,1,0.53,0.07,0.53,0.06,NaN,NaN,NaN,NaN,NaN,NaN,0.34,0.05
F,C211132,39.95725,-34.621111,21.294,0.046,21.573,0.023,21.063,0.049,20.796,0.127,0.4095689,0.54861092,1,0.44,0.07,0.49,0.03,0.41,0.07,NaN,NaN,0.16,0.04,0.24,0.02
F,C214485,39.962625,-34.250333,21.206,0.057,21.544,0.032,21.084,0.198,20.743,0.13,0.433745,0.586737,1,0.47,0.06,0.58,0.04,NaN,NaN,NaN,NaN,0.15,0.05,0.21,0.03
F,C217106,39.966,-34.450111,21.416,0.046,21.714,0.028,21.221,0.157,21.003,0.273,0.378564,0.506598,1,0.52,0.05,0.63,0.05,NaN,NaN,NaN,NaN,0.33,0.05,0.35,0.03
F,C220248,39.97075,-34.259194,21.262,0.061,21.604,0.038,21.098,0.146,20.78,0.17,0.417345,0.56043447,1,0.46,0.06,0.62,0.05,NaN,NaN,NaN,NaN,0.26,0.05,0.23,0.04
F,C228809,39.982375,-34.690972,21.434,0.053,21.619,0.026,21.266,0.045,20.977,0.104,0.365586,0.491133,1,0.51,0.06,0.73,0.04,0.36,0.07,NaN,NaN,0.36,0.04,0.35,0.03
F,C232518,39.987958,-34.520194,21.182,0.059,21.465,0.037,20.949,0.071,20.63,0.145,0.380829,1.0436019,1,0.35,0.06,0.5,0.04,0.31,0.09,NaN,NaN,NaN,NaN,NaN,NaN
F,C232551,39.987792,-34.693361,21.196,0.038,21.458,0.021,20.996,0.042,20.684,0.135,0.379269,0.50909624,1,0.4,0.05,0.57,0.04,0.37,0.06,NaN,NaN,0.15,0.05,0.24,0.03
F,C233396,39.989375,-34.408667,21.286,0.063,21.536,0.037,20.955,0.22,20.868,0.09,0.371388,0.497816,1,0.49,0.07,0.57,0.04,NaN,NaN,NaN,NaN,0.29,0.06,0.38,0.03
F,C235929,39.992792,-34.724139,21.249,0.043,21.522,0.022,21.026,0.04,20.782,0.079,0.423139,0.56419862,1,0.5,0.05,0.59,0.04,0.33,0.06,0.34,0.08,0.12,0.04,0.26,0.02
F,C242312,40.0025,-34.503861,21.431,0.067,21.715,0.038,21.211,0.063,20.978,0.098,0.366304,0.492815,1,0.56,0.07,0.65,0.06,0.34,0.08,0.53,0.14,0.2,0.06,0.35,0.04
F,C242313,40.002417,-34.584167,21.402,0.066,21.674,0.035,21.14,0.137,20.991,0.095,0.37291456,0.50018458,1,0.34,0.06,0.53,0.04,NaN,NaN,NaN,NaN,0.22,0.06,0.25,0.03
F,C243517,40.004167,-34.594889,21.025,0.048,21.349,0.028,20.794,0.032,20.534,0.088,0.409411,0.548969,1,0.38,0.05,0.44,0.04,0.15,0.03,NaN,NaN,0.18,0.05,0.3,0.03
F,C243773,40.004792,-34.313889,21.355,0.068,21.713,0.045,20.988,0.204,20.735,0.259,0.603671,0.39583538,0,0.51,0.07,0.55,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,C244112,40.005292,-34.282083,21.388,0.07,21.677,0.038,21.207,0.116,20.866,0.155,0.37714,0.505807,1,0.5,0.07,0.57,0.04,0.3,0.15,NaN,NaN,0.23,0.07,0.24,0.04
F,C245965,40.007917,-34.362556,21.25,0.064,21.539,0.039,21.026,0.106,20.83,0.095,0.381297,0.511654,1,0.52,0.07,0.57,0.05,0.31,0.06,NaN,NaN,0.25,0.06,0.31,0.04
F,C255338,40.021417,-34.638306,21.424,0.055,21.679,0.028,21.193,0.161,20.969,0.098,0.378871,0.50821,1,0.36,0.05,0.63,0.05,NaN,NaN,0.32,0.14,0.23,0.04,0.27,0.03
F,C260502,40.029167,-34.151056,21.36,0.069,21.681,0.041,21.261,0.281,21.014,0.044,0.393924,0.528758,1,0.3,0.07,0.46,0.07,NaN,NaN,NaN,NaN,0.18,0.07,0.36,0.04
F,C272990,40.047125,-34.399139,21.325,0.06,21.616,0.027,21.182,0.13,20.905,0.103,0.3871086,0.51908735,1,0.54,0.07,0.61,0.04,0.4,0.13,0.4,0.1,0.22,0.06,0.26,0.03
F,C280859,40.058708,-34.738361,21.315,0.046,21.564,0.023,21.114,0.047,20.877,0.096,0.40148788,0.53810698,1,0.61,0.06,0.57,0.04,0.39,0.09,NaN,NaN,0.21,0.04,0.37,0.04
F,C286799,40.068125,-34.097667,21.31,0.066,21.606,0.039,21.132,0.14,20.834,0.061,0.410209,0.36683687,1,0.46,0.07,0.61,0.04,NaN,NaN,NaN,NaN,0.14,0.07,0.24,0.04
F,C290149,40.074292,-34.21675,21.431,0.068,21.714,0.042,21.225,0.065,21.161,0.172,0.376014,0.504399,1,0.44,0.07,0.49,0.05,0.45,0.09,NaN,NaN,0.2,0.07,0.22,0.03
F,C295008,40.082917,-34.355389,21.387,0.073,21.73,0.039,21.159,0.147,21.001,0.14,0.376716,0.51787,1,0.52,0.08,0.59,0.05,NaN,NaN,NaN,NaN,NaN,NaN,0.27,0.05
F,C301251,40.093458,-34.650611,21.357,0.05,21.721,0.026,21.11,0.042,20.883,0.094,0.404928,0.490365,1,0.4,0.05,0.44,0.03,0.38,0.04,0.33,0.09,NaN,NaN,0.2,0.03
F,C301327,40.093542,-34.484,21.405,0.07,21.667,0.04,21.244,0.186,21.022,0.112,0.37179283,0.33265636,1,0.45,0.08,0.48,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,C302156,40.094917,-34.468583,21.254,0.062,21.523,0.038,21.006,0.108,20.656,0.133,0.376267,0.504707,1,0.3,0.07,0.43,0.04,NaN,NaN,NaN,NaN,0.21,0.06,0.27,0.05
F,C302739,40.095917,-34.295,21.376,0.066,21.724,0.029,21.13,0.049,20.854,0.089,0.383653,0.514632,1,0.45,0.06,0.44,0.03,0.39,0.09,0.24,0.1,0.17,0.05,0.24,0.03
F,C302858,40.096167,-34.167139,21.31,0.063,21.633,0.044,21.055,0.056,20.892,0.126,0.395397,0.529809,1,0.43,0.07,0.54,0.05,0.33,0.06,NaN,NaN,0.19,0.07,0.23,0.05
F,C303557,40.097417,-34.250444,21.334,0.065,21.66,0.041,21.073,0.106,20.807,0.095,0.401533,0.538134,1,0.46,0.07,0.54,0.05,0.52,0.11,NaN,NaN,0.3,0.06,0.36,0.03
F,C303786,40.09775,-34.301444,21.287,0.063,21.643,0.037,21.04,0.124,20.756,0.103,0.407232,0.545653,1,0.41,0.07,0.48,0.04,0.26,0.14,NaN,NaN,0.17,0.07,0.22,0.04
F,C304510,40.099,-34.505972,21.326,0.065,21.598,0.035,21.05,0.064,20.826,0.131,0.400268,0.53634153,1,0.45,0.06,0.42,0.04,0.39,0.07,NaN,NaN,0.29,0.07,0.24,0.03
F,C315628,40.118333,-34.410611,21.269,0.06,21.557,0.027,21.092,0.141,20.807,0.1,0.371119,0.498289,1,0.43,0.07,0.41,0.03,NaN,NaN,0.47,0.11,0.18,0.06,0.37,0.03
F,C322442,40.1305,-34.164861,21.338,0.068,21.661,0.041,21.304,0.171,20.806,0.128,0.40805539,0.54690098,1,0.36,0.07,0.5,0.05,NaN,NaN,NaN,NaN,0.24,0.07,0.32,0.06
F,C323636,40.132792,-34.155222,21.393,0.067,21.642,0.039,21.247,0.168,20.861,0.067,0.378855,0.512545,1,0.46,0.07,0.58,0.04,NaN,NaN,0.21,0.04,0.2,0.06,0.29,0.03
F,C323664,40.133083,-34.598694,21.307,0.062,21.62,0.035,21.077,0.058,20.814,0.092,0.4112957,0.55081094,1,0.41,0.06,0.51,0.04,0.27,0.06,0.44,0.08,0.15,0.06,0.17,0.04
F,C324546,40.134792,-34.542333,21.389,0.071,21.665,0.037,21.185,0.05,20.965,0.057,0.385046,0.51783,1,0.57,0.07,0.75,0.06,0.39,0.07,0.29,0.09,0.25,0.07,0.32,0.04
F,C327034,40.139583,-34.312333,21.357,0.067,21.668,0.037,21.119,0.152,20.965,0.093,0.376352,0.50524,1,0.4,0.07,0.53,0.04,0.31,0.18,0.27,0.1,0.13,0.06,0.24,0.03
F,C327084,40.13975,-34.429444,20.964,0.052,21.323,0.034,20.587,0.051,20.352,0.167,0.396635,0.53177272,1,0.28,0.06,0.38,0.04,0.32,0.07,NaN,NaN,0.18,0.05,0.28,0.04
F,C327811,40.141125,-34.309417,21.3,0.065,21.607,0.034,21.019,0.159,20.718,0.081,0.412614,0.571787,1,0.37,0.07,0.42,0.04,0.31,0.15,0.34,0.07,0.2,0.06,0.3,0.03
F,C329654,40.144833,-34.646611,21.341,0.047,21.653,0.025,21.161,0.027,20.875,0.084,0.364967,0.489524,1,0.52,0.05,0.56,0.04,0.49,0.09,0.34,0.08,0.15,0.04,0.21,0.02
F,C330841,40.146792,-34.267194,21.273,0.065,21.545,0.037,21.06,0.092,20.843,0.083,0.359952,0.48444958,1,0.36,0.07,0.51,0.04,NaN,NaN,0.22,0.1,0.18,0.07,0.25,0.04
F,C335915,40.156833,-34.468639,21.403,0.071,21.664,0.035,21.237,0.059,21.043,0.112,0.37972562,0.51002974,1,0.55,0.07,0.61,0.05,0.4,0.08,NaN,NaN,0.22,0.07,0.2,0.03
F,C338350,40.162167,-34.523583,21.296,0.061,21.589,0.034,21.102,0.054,20.859,0.081,0.36864,0.49455411,1,0.45,0.06,0.54,0.04,0.3,0.07,0.53,0.08,0.16,0.05,0.25,0.03
F,C343604,40.173,-34.624639,21.395,0.053,21.73,0.026,21.149,0.026,20.91,0.096,0.388316,0.521983,1,0.48,0.06,0.59,0.04,0.43,0.04,0.32,0.14,0.16,0.06,0.38,0.03
F,C343862,40.173458,-34.581222,21.481,0.077,21.737,0.037,21.236,0.047,20.921,0.065,0.392743,0.52670853,1,0.41,0.08,0.55,0.05,0.48,0.08,NaN,NaN,0.28,0.08,0.34,0.03
F,C352407,40.191083,-34.602139,21.32,0.066,21.67,0.033,21.057,0.053,20.815,0.111,0.412474,0.553059,1,0.48,0.08,0.57,0.05,0.4,0.06,0.56,0.16,0.28,0.06,0.39,0.04
F,C355188,40.196458,-34.223583,21.357,0.072,21.61,0.036,21.054,0.125,20.811,0.046,0.414848,0.555996,1,0.27,0.07,0.44,0.04,0.46,0.16,NaN,NaN,0.13,0.07,0.25,0.03
F,C357527,40.20225,-34.494389,21.264,0.059,21.554,0.031,21.063,0.059,20.836,0.08,0.404115,0.54165,1,0.43,0.07,0.48,0.03,0.28,0.07,0.32,0.08,0.21,0.06,0.29,0.03
F,C363431,40.216458,-34.533667,21.41,0.066,21.72,0.033,21.151,0.064,20.972,0.063,0.370932,0.498119,1,0.5,0.06,0.56,0.05,0.37,0.06,0.38,0.08,0.27,0.07,0.36,0.04
F,C364314,40.217958,-34.139806,21.363,0.071,21.666,0.042,21.162,0.111,20.772,0.078,0.412955,0.54971323,1,0.27,0.07,0.49,0.06,NaN,NaN,0.31,0.25,NaN,NaN,NaN,NaN
F,C366792,40.224083,-34.311167,21.37,0.07,21.652,0.035,21.221,0.063,20.916,0.079,0.362768,0.487233,1,0.45,0.07,0.58,0.05,0.3,0.14,NaN,NaN,0.37,0.06,0.46,0.04
F,C368810,40.228708,-33.999028,21.284,0.07,21.589,0.033,NaN,NaN,20.922,0.023,0.408014,0.5617074,1,0.55,0.08,0.6,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,C369012,40.229083,-33.96375,21.339,0.061,21.637,0.024,NaN,NaN,20.898,0.055,0.383964,0.53191,1,0.39,0.08,0.53,0.04,NaN,NaN,NaN,NaN,0.21,0.04,0.28,0.03
F,C371412,40.235458,-34.140611,21.42,0.074,21.734,0.047,21.395,0.121,20.979,0.077,0.36752424,0.49306662,1,0.58,0.08,0.66,0.07,NaN,NaN,NaN,NaN,0.34,0.07,0.44,0.06
F,C374133,40.242583,-34.269306,21.297,0.067,21.597,0.033,21.086,0.144,20.84,0.079,0.390698,0.523418,1,0.42,0.07,0.57,0.05,0.35,0.12,0.29,0.09,0.18,0.07,0.22,0.03
F,C375566,40.245792,-33.960639,21.337,0.059,21.643,0.023,NaN,NaN,20.942,0.052,0.402273,0.540367,1,0.35,0.04,0.49,0.04,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.03
F,C375874,40.24725,-34.311194,21.473,0.075,21.831,0.04,21.145,0.176,20.95,0.095,0.376046,0.5049,1,0.37,0.08,0.41,0.04,NaN,NaN,0.36,0.08,0.24,0.07,0.53,0.04
F,C382020,40.263333,-34.11525,21.424,0.069,21.773,0.031,21.117,0.189,20.922,0.059,0.396154,0.54737635,1,0.36,0.07,0.41,0.04,NaN,NaN,0.25,0.11,0.27,0.07,0.43,0.03
F,C383498,40.267583,-34.220917,21.331,0.069,21.632,0.037,21.014,0.194,20.827,0.134,0.411924,0.551835,1,0.41,0.07,0.49,0.04,NaN,NaN,NaN,NaN,0.29,0.07,0.28,0.03
F,C384829,40.271417,-34.32525,21.255,0.062,21.599,0.034,20.959,0.178,20.744,0.126,0.40852607,0.54750661,1,0.38,0.06,0.47,0.04,NaN,NaN,NaN,NaN,0.23,0.06,0.19,0.03
