galaxy,name,ra,dec,vmag,errvmag,bmag,errbmag,rmag,errrmag,imag,errimag,per_fo,per_fu,dominant_mode,ampv,err_ampv,ampb,err_ampb,ampr,err_ampr,ampi,err_ampi,ampv_sec,err_ampv_sec,ampb_sec,err_ampb_sec
F,D152847,39.647458,-34.598389,21.429,0.027,21.715,0.022,21.195,0.047,21.095,0.093,0.37323,0.50276095,1,0.48,0.04,0.48,0.03,0.4,0.08,NaN,NaN,0.11,0.03,0.17,0.02
F,D165636,39.668958,-34.51475,21.291,0.028,21.55,0.023,21.059,0.04,20.788,0.121,0.418882,0.562136,1,0.42,0.04,0.52,0.04,0.28,0.07,NaN,NaN,0.18,0.03,0.31,0.03
F,D170689,39.675458,-34.812278,21.462,0.026,21.763,0.024,21.367,0.101,20.812,0.074,0.37030895,0.49684641,1,0.56,0.04,0.58,0.04,NaN,NaN,NaN,NaN,0.18,0.04,0.19,0.03
F,D171497,39.68,-34.136944,21.38,0.021,21.636,0.022,21.186,0.134,21.046,0.076,0.36630189,0.48468904,1,0.49,0.05,0.54,0.04,NaN,NaN,0.26,0.07,NaN,NaN,NaN,NaN
F,D172185,39.677833,-34.805806,21.217,0.042,21.498,0.035,21.138,0.179,20.741,0.083,0.42283054,NaN,1,0.62,0.07,0.48,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,D174056,39.680667,-34.815611,21.401,0.027,21.656,0.026,21.28,0.137,20.969,0.093,0.38148519,0.4725713,1,0.42,0.04,0.45,0.04,NaN,NaN,NaN,NaN,0.16,0.03,0.19,0.02
F,D174311,39.681167,-34.792889,21.367,0.024,21.649,0.024,21.148,0.046,20.862,0.055,0.36012419,0.61408583,1,0.44,0.04,0.57,0.04,0.44,0.08,NaN,NaN,NaN,NaN,0.35,0.03
F,D174736,39.682375,-34.690222,21.389,0.026,21.674,0.024,21.173,0.017,20.88,0.1,0.389963,0.522916,1,0.42,0.04,0.52,0.04,0.33,0.04,NaN,NaN,0.28,0.03,0.28,0.03
F,D175769,39.683833,-34.709972,21.4,0.026,21.687,0.023,21.242,0.017,20.847,0.076,0.372129,0.50009687,1,0.41,0.03,0.59,0.04,0.39,0.04,NaN,NaN,0.08,0.02,0.09,0.02
F,D184230,39.696917,-34.575389,21.293,0.029,21.607,0.023,21.047,0.041,20.832,0.076,0.405956,0.54364363,1,0.38,0.03,0.44,0.03,0.37,0.06,0.24,0.09,0.19,0.04,0.13,0.02
F,D189741,39.704958,-34.579611,21.36,0.03,21.708,0.023,21.189,0.149,20.86,0.071,0.395865,0.52892015,1,0.52,0.04,0.43,0.03,NaN,NaN,NaN,NaN,0.2,0.03,0.23,0.03
