source_id,frequency,amplitude,is_cstar,ra,dec,bp_rp,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
5050073265907250176,0.002906410682456694,0.05027102679014206,False,39.94713438890217,-35.22280919439741,1.8443756103515625,13.978967666625977,14.888110160827637,13.043734550476074
5050083230231341312,0.010379177473661646,0.08246566355228424,True,40.05922431155184,-34.974525169438785,2.0266990661621094,16.630084991455078,17.648990631103516,15.622291564941406
5062109413539821824,,,False,39.731093667468514,-34.8212998734477,2.2645416259765625,16.78711700439453,17.980379104614258,15.715837478637695
5062111195948838528,,,True,39.73748433744038,-34.776124140681894,3.027505874633789,17.99854278564453,19.775739669799805,16.748233795166016
5062153290925777792,0.004192929370380195,0.3126299977302551,True,39.372111320100835,-34.827278594812995,2.471912384033203,17.736242294311523,19.065223693847656,16.593311309814453
5062193560542876160,0.004603611149714851,0.12854576110839844,True,40.0975920083159,-34.722941694923044,2.414701461791992,17.415990829467773,18.71170425415039,16.2970027923584
5062195244171296768,,,False,40.051969845357284,-34.65160975440666,2.333904266357422,17.466421127319336,18.71261215209961,16.378707885742188
5062199126820396416,,,True,40.28458553491118,-34.59792382727458,2.50384521484375,17.578210830688477,18.935508728027344,16.431663513183594
5062200466850213632,0.004153066756184066,0.20478537678718567,True,40.21766763261018,-34.6230778636626,2.3504772186279297,17.60663604736328,18.85721778869629,16.50674057006836
5062200776087854848,0.004249673977201418,0.1048271581530571,True,40.201666733022655,-34.593493419274445,2.1129379272460938,16.739849090576172,17.82920265197754,15.716264724731445
5062205345933157376,,,False,39.936897559290216,-34.64924985522106,2.0825653076171875,17.24193000793457,18.28367042541504,16.20110511779785
5062206445444790784,,,True,39.893344851165665,-34.620606811605825,2.3537635803222656,17.18625259399414,18.469886779785156,16.11612319946289
5062206445444850816,,,True,39.88244758960507,-34.61111140819935,2.4417667388916016,17.48783302307129,18.754636764526367,16.312870025634766
5062206479804522240,,,True,39.905749132755254,-34.607475335815735,2.9878501892089844,17.86314582824707,19.64509391784668,16.657243728637695
5062207029560315648,,,True,39.99318145887369,-34.60596417446071,2.3292922973632812,17.2724552154541,18.512466430664062,16.18317413330078
5062207476236896128,,,True,40.03791120149019,-34.57770075932899,2.5046615600585938,17.370431900024414,18.762426376342773,16.25776481628418
5062207579316104320,,,False,40.04239592463811,-34.556069176383225,2.802610397338867,18.57878875732422,20.061763763427734,17.259153366088867
5062208232151155456,,,True,39.97490767526717,-34.57343258429409,2.0556297302246094,17.041833877563477,18.030311584472656,15.974681854248047
5062208335230349952,,,True,40.022419551347134,-34.53837853513087,2.8435192108154297,17.562259674072266,19.214611053466797,16.371091842651367
5062208403949925376,,,True,40.011405024189216,-34.53024398800997,2.937389373779297,18.04664421081543,19.75118064880371,16.813791275024414
5062208781907022464,,,False,39.81024761069094,-34.661577142472495,2.4983692169189453,17.484094619750977,18.86266326904297,16.364294052124023
5062208884986226304,,,False,39.85096605767006,-34.63412203625143,2.1129589080810547,17.244304656982422,18.327909469604492,16.214950561523438
5062208988065455104,0.006487675087888095,0.36652907729148865,False,39.79478832603531,-34.65546527523712,2.407979965209961,17.673425674438477,18.92240333557129,16.514423370361328
5062210499893915392,,,False,39.83622552899607,-34.55084329994743,2.5066680908203125,17.46830177307129,18.738981246948242,16.23231315612793
5062211423307651840,,,True,39.90291152140382,-34.50686860573554,2.721996307373047,18.084014892578125,19.61966323852539,16.897666931152344
5062211496326294528,,,True,39.95482590985826,-34.523280765442,2.1254940032958984,17.23036766052246,18.328937530517578,16.20344352722168
5062212492758513536,,,False,39.84551552890692,-34.469373398819016,2.487590789794922,17.54813575744629,18.86776351928711,16.380172729492188
5062213179953436288,,,True,40.0651226890984,-34.56749194761692,2.697154998779297,17.525102615356445,19.06810188293457,16.370946884155273
5062213454831341312,,,True,40.04915724273989,-34.545950285580496,2.237020492553711,17.375703811645508,18.562009811401367,16.324989318847656
5062214038946863360,0.004116941352765129,0.15918900072574615,True,40.104396049972095,-34.482893007289,2.3681983947753906,17.433130264282227,18.71303367614746,16.34483528137207
5062214107666333824,0.0034050736963325183,0.6535099744796753,True,40.13014515208489,-34.47894230912425,2.6458740234375,18.138978958129883,19.543724060058594,16.897850036621094
5062214343882547072,0.0016116782171240887,0.13959096372127533,False,40.06063648611157,-34.51139241738404,2.2539291381835938,17.44195556640625,18.57191276550293,16.317983627319336
5062215134159400832,0.0028703920105180333,0.48397767543792725,False,40.05037793076209,-34.44041021996761,3.010101318359375,18.89887046813965,20.562734603881836,17.55263328552246
5062215928732447232,0.005831667317327784,0.24943582713603973,False,40.20853338671759,-34.43280273341249,2.325929641723633,17.357805252075195,18.60895347595215,16.283023834228516
5062217646719413632,0.003840772213638258,0.4539571702480316,True,40.0105138192953,-34.461830605586,2.6988773345947266,17.775310516357422,19.232702255249023,16.533824920654297
5062217681079149184,,,False,40.023093323905904,-34.46200219054759,2.4208850860595703,17.46858787536621,18.787595748901367,16.366710662841797
