FBW,o_Vmag,Vmag,e_Vmag,o_Icmag,Icmag,e_Icmag,WS,Period,E(B-V),_RA,_DE
J023757.0-342201,32,21.455,0.021,32,20.838,0.032,2.497,0.56046,0.028,39.4875,-34.3669
J023757.0-344240,32,21.474,0.024,32,21.015,0.04,3.505,0.56818,0.035,39.4875,-34.7111
J023757.6-343244,32,21.359,0.022,32,20.95,0.035,2.609,0.5917,0.034,39.49,-34.5456
J023758.5-344604,30,21.343,0.023,30,20.715,0.034,1.46,0.58916,0.034,39.4937,-34.7678
J023758.8-344727,31,21.348,0.021,31,20.786,0.033,4.824,0.3467,0.034,39.495,-34.7908
J023759.1-344916,31,21.4,0.021,31,20.728,0.032,3.231,0.61108,0.034,39.4962,-34.8211
J023759.6-343545,31,21.282,0.022,30,20.719,0.031,1.433,0.41234,0.035,39.4983,-34.5958
J023759.6-344710,32,21.321,0.021,32,20.794,0.034,1.607,0.55731,0.034,39.4983,-34.7861
J023800.1-342206,31,21.347,0.022,31,20.741,0.031,1.268,0.61252,0.028,39.5004,-34.3683
J023800.1-343528,30,21.504,0.023,29,20.763,0.035,1.421,0.37461,0.035,39.5004,-34.5911
J023800.3-342430,32,21.395,0.021,32,20.814,0.033,3.383,0.60619,0.029,39.5012,-34.4083
J023800.4-343016,31,21.387,0.021,31,20.808,0.031,2.809,0.37532,0.032,39.5017,-34.5044
J023801.1-343646,32,21.589,0.024,31,20.925,0.035,2.535,0.56237,0.035,39.5046,-34.6128
J023801.4-345048,30,21.182,0.02,29,20.343,0.029,2.599,0.67512,0.034,39.5058,-34.8467
J023801.6-342919,31,21.46,0.022,31,20.791,0.033,4.939,0.56304,0.032,39.5067,-34.4886
J023802.1-344422,31,21.398,0.024,31,20.878,0.038,1.782,0.56136,0.034,39.5087,-34.7394
J023802.8-342931,13,21.344,0.026,13,20.836,0.056,2.305,0.57273,0.032,39.5117,-34.4919
J023804.3-344433,32,21.43,0.023,32,20.876,0.035,1.285,0.62225,0.035,39.5179,-34.7425
J023804.6-342108,32,21.424,0.022,32,20.802,0.033,1.365,0.60205,0.029,39.5192,-34.3522
J023804.7-344159,31,21.399,0.024,31,20.782,0.034,2.121,0.53559,0.035,39.5196,-34.6997
J023806.5-341952,32,21.36,0.019,32,20.749,0.03,2.993,0.56235,0.028,39.5271,-34.3311
J023806.5-344350,32,21.363,0.023,32,20.778,0.035,1.229,0.6256,0.035,39.5271,-34.7306
J023806.9-344615,32,21.346,0.023,32,20.718,0.034,1.188,0.56588,0.034,39.5287,-34.7708
J023807.2-342521,32,21.336,0.019,32,20.557,0.027,2.835,0.59151,0.029,39.53,-34.4225
J023807.2-344844,32,21.272,0.023,32,20.821,0.035,2.083,0.28775,0.034,39.53,-34.8122
J023808.3-344047,28,21.396,0.026,27,20.811,0.038,1.583,0.64647,0.036,39.5346,-34.6797
J023808.8-344509,32,21.304,0.02,32,20.846,0.035,3.418,0.53501,0.034,39.5367,-34.7525
J023810.1-342616,32,21.463,0.022,32,20.796,0.034,2.945,0.59144,0.029,39.5421,-34.4378
J023810.7-343401,32,21.466,0.021,32,20.774,0.033,3.688,0.58577,0.035,39.5446,-34.5669
J023811.0-345530,32,21.324,0.022,32,20.797,0.034,1.478,0.28936,0.033,39.5458,-34.925
J023812.9-344439,32,21.362,0.024,32,20.906,0.036,2.118,0.5428,0.035,39.5537,-34.7442
J023812.9-345111,32,21.369,0.022,32,20.787,0.035,4.619,0.58726,0.033,39.5537,-34.8531
J023813.5-345825,32,21.309,0.024,32,20.779,0.032,2.312,0.39833,0.033,39.5562,-34.9736
J023816.3-345525,31,21.427,0.025,31,20.785,0.032,1.993,0.73723,0.033,39.5679,-34.9236
J023816.8-345648,32,21.21,0.019,32,20.655,0.029,3.643,0.65953,0.033,39.57,-34.9467
J023818.0-345752,32,21.406,0.022,32,20.78,0.034,2.999,0.59404,0.033,39.575,-34.9644
J023818.3-344315,32,21.195,0.02,32,20.642,0.029,1.494,0.2838,0.035,39.5762,-34.7208
J023819.5-342546,12,21.404,0.026,12,20.754,0.054,1.835,0.54797,0.029,39.5812,-34.4294
J023819.6-342439,30,21.386,0.022,30,20.84,0.035,1.183,0.61665,0.029,39.5817,-34.4108
J023819.9-343802,32,21.493,0.024,32,20.893,0.032,0.905,0.55108,0.036,39.5829,-34.6339
J023819.9-345618,31,21.507,0.025,31,20.943,0.038,3.269,0.55445,0.033,39.5829,-34.9383
J023820.6-345357,31,21.243,0.021,31,20.728,0.032,1.583,0.61515,0.032,39.5858,-34.8992
J023821.6-344525,32,21.173,0.019,32,20.781,0.032,3.13,0.62817,0.034,39.59,-34.7569
J023821.7-345157,32,21.3,0.021,32,20.787,0.032,1.631,0.61012,0.032,39.5904,-34.8658
J023822.2-344851,32,21.331,0.022,32,20.776,0.033,2.616,0.28982,0.033,39.5925,-34.8142
J023823.8-345125,31,21.409,0.022,31,21.021,0.038,3.27,0.5739,0.032,39.5992,-34.8569
J023824.6-343335,32,21.513,0.022,32,20.969,0.037,1.081,0.57956,0.034,39.6025,-34.5597
J023825.5-343249,32,21.473,0.022,32,21.077,0.039,2.016,0.31617,0.032,39.6062,-34.5469
J023826.7-343224,32,21.377,0.021,32,20.897,0.033,4.651,0.53789,0.032,39.6112,-34.54
J023827.0-342923,31,21.455,0.024,31,21.102,0.038,4.837,0.42953,0.031,39.6125,-34.4897
J023827.5-345156,32,21.347,0.022,32,20.742,0.034,2.458,0.62625,0.032,39.6146,-34.8656
J023828.0-343029,32,21.452,0.021,32,20.644,0.031,2.161,0.59722,0.03,39.6167,-34.5081
J023828.0-343221,31,21.202,0.02,30,20.478,0.028,0.938,0.4265,0.031,39.6167,-34.5392
J023828.6-342020,32,21.534,0.021,32,20.858,0.034,4.381,0.5352,0.029,39.6192,-34.3389
J023828.6-345416,32,21.344,0.02,32,20.832,0.033,2.145,0.62845,0.031,39.6192,-34.9044
J023828.8-342323,32,21.293,0.02,32,20.768,0.031,1.473,0.60243,0.029,39.62,-34.3897
J023829.5-343310,31,21.597,0.026,31,21.168,0.037,2.001,0.51869,0.032,39.6229,-34.5528
J023830.0-345639,31,21.43,0.023,31,20.781,0.035,1.682,0.59166,0.032,39.625,-34.9442
J023830.1-344308,13,21.468,0.033,13,20.886,0.066,1.302,0.57691,0.034,39.6254,-34.7189
J023831.3-342814,31,25.299,0.021,31,17.621,0.029,1.587,0.53505,0.029,39.6304,-34.4706
J023831.6-342122,32,21.441,0.022,32,20.68,0.03,2.89,0.57582,0.03,39.6317,-34.3561
J023831.9-343115,31,21.518,0.024,31,20.963,0.033,1.126,0.59493,0.031,39.6329,-34.5208
J023832.1-344359,32,21.223,0.02,32,20.622,0.03,1.052,0.65407,0.034,39.6337,-34.7331
J023832.4-344103,29,21.375,0.023,29,20.682,0.037,1.393,0.58765,0.034,39.635,-34.6842
J023832.5-345253,31,21.401,0.023,31,20.823,0.034,2.451,0.6023,0.031,39.6354,-34.8814
J023833.0-344408,30,21.497,0.026,30,20.864,0.042,1.57,0.54458,0.034,39.6375,-34.7356
J023834.0-343209,32,21.138,0.017,32,20.507,0.028,2.557,0.57019,0.031,39.6417,-34.5358
J023834.1-342149,32,21.46,0.023,32,20.898,0.036,2.904,0.63237,0.03,39.6421,-34.3636
J023834.1-342703,32,21.134,0.017,32,20.565,0.027,4.839,0.62728,0.029,39.6421,-34.4508
J023834.3-343057,32,21.657,0.023,32,21.153,0.04,2.577,0.54025,0.03,39.6429,-34.5158
J023835.1-343023,32,21.236,0.019,32,20.761,0.03,2.197,0.57872,0.03,39.6462,-34.5064
J023835.2-343449,32,21.452,0.025,32,20.913,0.035,1.188,0.59263,0.032,39.6467,-34.5803
J023835.5-345106,32,21.631,0.025,32,21.213,0.04,1.135,0.61778,0.031,39.6479,-34.8517
J023836.0-345719,31,21.456,0.026,31,20.711,0.035,2.622,0.57217,0.033,39.65,-34.9553
J023836.2-342822,32,21.316,0.019,32,20.532,0.028,5.833,0.38064,0.029,39.6508,-34.4728
J023836.8-343448,32,21.492,0.024,32,20.817,0.033,0.958,0.67041,0.03,39.6533,-34.58
J023837.0-342754,32,21.252,0.019,32,20.716,0.031,3.125,0.57242,0.029,39.6542,-34.465
J023837.1-345427,32,21.37,0.022,32,20.951,0.036,1.162,0.42006,0.031,39.6546,-34.9075
J023837.9-343646,13,21.235,0.027,13,20.704,0.051,1.392,0.57846,0.031,39.6579,-34.6128
J023838.0-343440,14,21.258,0.023,14,20.732,0.054,1.148,0.65021,0.03,39.6583,-34.5778
J023838.5-344437,13,21.31,0.026,13,20.737,0.058,1.079,0.59212,0.032,39.6604,-34.7436
J023839.9-344146,32,21.547,0.025,31,20.849,0.037,1.081,0.51895,0.032,39.6662,-34.6961
J023840.6-343125,31,21.451,0.023,31,20.806,0.033,1.427,0.61536,0.03,39.6692,-34.5236
J023840.8-341946,31,21.342,0.021,31,20.781,0.033,1.914,0.58545,0.029,39.67,-34.3294
J023840.9-342712,31,21.516,0.026,31,21.068,0.039,0.97,0.43118,0.029,39.6704,-34.4533
J023840.9-343253,31,21.431,0.022,31,20.724,0.033,1.34,0.54646,0.03,39.6704,-34.5481
J023841.8-342851,29,21.116,0.02,29,20.416,0.026,1.053,0.60536,0.029,39.6742,-34.4808
J023842.4-342751,31,21.074,0.018,31,20.645,0.029,1.444,0.42941,0.029,39.6767,-34.4642
J023842.4-343001,31,21.222,0.019,31,20.629,0.028,1.298,0.61299,0.029,39.6767,-34.5003
J023844.2-343121,30,21.558,0.026,30,20.905,0.037,0.963,0.61419,0.028,39.6842,-34.5225
J023844.2-344859,31,21.45,0.023,31,20.918,0.038,4.789,0.5801,0.03,39.6842,-34.8164
J023844.8-345346,31,21.423,0.021,31,20.781,0.036,2.156,0.58178,0.031,39.6867,-34.8961
J023845.1-343703,27,21.335,0.02,27,20.761,0.033,4.774,0.55119,0.029,39.6879,-34.6175
J023845.2-344805,32,21.528,0.029,32,20.985,0.047,1.336,0.60228,0.03,39.6883,-34.8014
J023845.6-342656,13,20.981,0.022,13,20.398,0.046,0.953,0.69429,0.029,39.69,-34.4489
J023845.8-342429,13,21.32,0.028,13,20.786,0.058,1.495,0.58699,0.029,39.6908,-34.4081
J023845.8-343654,31,21.196,0.019,31,20.672,0.029,0.981,0.69761,0.029,39.6908,-34.615
J023846.0-344836,29,21.222,0.028,29,20.712,0.037,2.762,0.59811,0.03,39.6917,-34.81
J023846.4-342110,31,21.241,0.019,31,20.666,0.029,3.155,0.5976,0.029,39.6933,-34.3528
J023846.6-341947,31,21.437,0.021,31,20.95,0.035,0.971,0.56402,0.028,39.6942,-34.3297
J023846.6-343002,31,21.3,0.022,31,20.626,0.03,1.428,0.6702,0.028,39.6942,-34.5006
J023846.9-344900,30,21.416,0.024,30,20.907,0.037,1.464,0.34528,0.03,39.6954,-34.8167
J023846.9-345742,32,21.448,0.024,32,20.965,0.034,1.789,0.30521,0.033,39.6954,-34.9617
J023849.3-345647,30,21.258,0.023,30,20.766,0.035,4.097,0.63381,0.032,39.7054,-34.9464
J023849.4-345008,31,21.312,0.022,31,20.716,0.032,2.607,0.61115,0.03,39.7058,-34.8356
J023849.5-344524,30,21.185,0.021,30,20.735,0.031,1.637,0.61238,0.03,39.7062,-34.7567
J023849.9-344630,30,21.031,0.02,30,20.544,0.026,7.19,0.56221,0.03,39.7079,-34.775
J023850.2-344458,30,21.317,0.025,30,20.9,0.034,2.383,0.56878,0.03,39.7092,-34.7494
J023850.8-344527,30,21.377,0.026,30,21.06,0.036,1.425,0.33956,0.03,39.7117,-34.7575
J023851.0-344219,32,21.195,0.022,32,20.762,0.031,2.046,0.65572,0.03,39.7125,-34.7053
J023851.2-342317,31,21.348,0.021,31,20.787,0.033,2.545,0.58039,0.029,39.7133,-34.3881
J023851.9-342910,30,21.417,0.023,30,20.938,0.038,1.448,0.57947,0.028,39.7162,-34.4861
J023852.1-342256,29,21.283,0.023,29,20.824,0.034,1.275,0.37876,0.028,39.7171,-34.3822
J023852.3-343137,29,21.41,0.023,29,20.794,0.036,2.062,0.60354,0.027,39.7179,-34.5269
J023852.6-343743,28,21.164,0.02,28,20.789,0.034,3.738,0.56191,0.028,39.7192,-34.6286
J023852.7-343601,13,21.307,0.023,13,20.804,0.053,1.098,0.52441,0.027,39.7196,-34.6003
J023853.6-345518,32,21.302,0.022,32,20.822,0.033,3.747,0.2279,0.032,39.7233,-34.9217
J023853.9-344229,30,21.623,0.028,30,21.052,0.039,1.214,0.5534,0.028,39.7246,-34.7081
J023854.0-343224,31,25.482,0.021,31,17.969,0.034,2.708,0.60498,0.027,39.725,-34.54
J023854.6-343526,31,21.1,0.018,31,20.58,0.027,3.892,0.59457,0.027,39.7275,-34.5906
J023855.0-344752,32,21.373,0.022,32,20.901,0.036,1.548,0.55759,0.029,39.7292,-34.7978
J023855.1-343712,31,21.074,0.019,31,20.563,0.028,1.081,0.63614,0.028,39.7296,-34.62
J023855.4-342343,31,21.366,0.024,31,20.757,0.032,0.947,0.3807,0.029,39.7308,-34.3953
J023856.2-345002,32,21.456,0.025,32,20.729,0.034,1.876,0.31784,0.029,39.7342,-34.8339
J023856.4-343258,31,21.462,0.024,31,20.79,0.035,1.951,0.57788,0.027,39.735,-34.5494
J023857.6-342710,13,21.335,0.029,13,20.793,0.06,1.474,0.59402,0.028,39.74,-34.4528
J023858.2-342312,31,21.394,0.022,31,20.891,0.033,5.501,0.32749,0.029,39.7425,-34.3867
J023858.2-343409,30,21.127,0.019,30,20.534,0.028,2.115,0.57495,0.027,39.7425,-34.5692
J023858.2-344136,13,21.302,0.03,13,20.824,0.065,1.605,0.60569,0.028,39.7425,-34.6933
J023859.0-342008,31,20.993,0.017,31,20.459,0.025,2.254,0.66388,0.028,39.7458,-34.3356
J023859.0-344616,31,21.253,0.02,31,20.632,0.03,1.624,0.62594,0.029,39.7458,-34.7711
J023859.3-343718,30,21.564,0.025,30,20.891,0.04,1.294,0.63663,0.028,39.7471,-34.6217
J023859.6-342346,31,21.446,0.022,31,20.63,0.033,3.41,0.35786,0.029,39.7483,-34.3961
J023900.1-344208,32,21.352,0.024,32,20.772,0.033,1.802,0.26929,0.027,39.7504,-34.7022
J023900.2-344635,31,21.252,0.021,31,20.575,0.03,2.275,0.36242,0.028,39.7508,-34.7764
J023900.3-345348,32,21.297,0.023,32,20.716,0.034,2.091,0.57616,0.03,39.7512,-34.8967
J023900.4-343703,30,21.299,0.022,30,20.784,0.033,1.114,0.53486,0.027,39.7517,-34.6175
J023900.5-343055,31,21.224,0.019,31,20.466,0.028,1.206,0.67308,0.027,39.7521,-34.5153
J023902.4-342625,31,21.31,0.019,31,20.479,0.028,1.833,0.5188,0.028,39.76,-34.4403
J023903.2-342031,30,21.517,0.023,30,20.961,0.036,4.691,0.5357,0.027,39.7633,-34.3419
J023903.7-342408,31,21.411,0.023,31,20.98,0.039,7.974,0.56593,0.028,39.7654,-34.4022
J023904.1-344331,32,21.215,0.021,32,20.673,0.031,1.206,0.27588,0.028,39.7671,-34.7253
J023904.2-342740,31,21.37,0.022,31,20.844,0.034,2.469,0.58253,0.027,39.7675,-34.4611
J023904.6-345517,30,21.458,0.024,30,20.856,0.036,1.677,0.57056,0.031,39.7692,-34.9214
J023904.8-344100,32,21.408,0.024,32,20.864,0.038,4.188,0.56761,0.027,39.77,-34.6833
J023904.9-344936,30,21.448,0.025,30,20.843,0.036,1.527,0.61422,0.029,39.7704,-34.8267
J023905.0-345212,32,21.419,0.025,32,20.942,0.037,1.808,0.56298,0.029,39.7708,-34.87
J023905.6-343504,31,21.25,0.022,31,20.551,0.029,1.158,0.58704,0.026,39.7733,-34.5844
J023905.9-345903,31,21.311,0.022,31,20.753,0.034,1.003,0.44421,0.032,39.7746,-34.9842
J023906.3-344207,32,21.397,0.025,32,20.96,0.041,1.175,0.28448,0.027,39.7762,-34.7019
J023906.7-342806,31,21.432,0.019,31,20.746,0.032,1.484,0.54891,0.027,39.7779,-34.4683
J023907.0-343318,31,21.351,0.024,31,20.772,0.034,1.407,0.63398,0.026,39.7792,-34.555
J023907.1-343316,31,20.78,0.017,31,19.971,0.019,3.098,0.33609,0.026,39.7796,-34.5544
J023907.4-345034,13,21.013,0.03,12,20.399,0.059,1.179,0.57738,0.029,39.7808,-34.8428
J023907.5-342625,31,21.048,0.02,28,20.389,0.026,1.048,0.62738,0.028,39.7812,-34.4403
J023908.1-341957,31,21.575,0.025,31,20.989,0.039,3.315,0.53558,0.027,39.7837,-34.3325
J023910.1-342359,31,21.327,0.022,31,20.727,0.032,2.93,0.58359,0.027,39.7921,-34.3997
J023910.5-344059,32,21.181,0.02,32,20.527,0.029,3.328,0.42479,0.026,39.7937,-34.6831
J023910.8-345852,32,21.136,0.019,32,20.467,0.027,1.797,0.67149,0.03,39.795,-34.9811
J023910.9-344921,31,21.458,0.022,31,20.83,0.033,2.927,0.55678,0.028,39.7954,-34.8225
J023911.0-342058,12,21.359,0.027,12,20.768,0.057,1.487,0.65382,0.027,39.7958,-34.3494
J023911.6-343755,31,21.403,0.022,31,20.801,0.031,2.694,0.56104,0.026,39.7983,-34.6319
J023911.6-345033,30,21.433,0.024,30,20.749,0.034,1.378,0.29478,0.028,39.7983,-34.8425
J023911.7-343300,31,21.152,0.019,31,20.629,0.03,5.644,0.62666,0.025,39.7987,-34.55
J023911.8-344622,31,21.169,0.02,31,20.647,0.029,1.129,0.6481,0.028,39.7992,-34.7728
J023912.1-341930,31,21.053,0.019,31,20.419,0.026,2.103,0.64428,0.027,39.8004,-34.325
J023912.5-343126,30,21.3,0.02,30,20.625,0.03,2.008,0.53048,0.025,39.8021,-34.5239
J023913.1-344017,29,21.237,0.023,29,20.852,0.033,2.892,0.2819,0.026,39.8046,-34.6714
J023913.1-345434,32,21.294,0.022,32,20.676,0.029,1.026,0.42072,0.029,39.8046,-34.9094
J023913.5-342421,31,21.349,0.023,31,20.808,0.034,1.623,0.39544,0.027,39.8062,-34.4058
J023913.7-343554,26,21.019,0.029,26,20.356,0.038,1.304,0.56972,0.026,39.8071,-34.5983
J023913.9-343658,31,21.266,0.021,31,20.723,0.031,6.075,0.6062,0.026,39.8079,-34.6161
J023914.8-344839,31,21.458,0.026,31,20.847,0.036,1.636,0.37554,0.028,39.8117,-34.8108
J023915.5-345741,30,21.41,0.024,30,20.73,0.033,1.33,0.36787,0.03,39.8146,-34.9614
J023916.1-344403,28,21.772,0.027,28,20.639,0.047,2.42,0.52025,0.027,39.8171,-34.7342
J023916.2-345351,31,21.501,0.024,31,20.897,0.037,1.267,0.36086,0.028,39.8175,-34.8975
J023916.3-343039,31,21.233,0.021,31,20.638,0.03,0.942,0.58961,0.025,39.8179,-34.5108
J023916.5-342710,31,21.434,0.021,31,20.675,0.026,1.977,0.61559,0.026,39.8187,-34.4528
J023917.0-343000,31,21.536,0.026,31,21.056,0.04,2.158,0.34337,0.025,39.8208,-34.5
J023917.2-345303,27,21.296,0.024,27,20.651,0.035,1.211,0.65667,0.028,39.8217,-34.8842
J023917.8-345531,31,21.405,0.022,31,20.759,0.031,1.228,0.61982,0.029,39.8242,-34.9253
J023918.2-342523,30,21.488,0.023,30,20.791,0.033,1.435,0.60807,0.027,39.8258,-34.4231
J023918.5-342334,31,21.482,0.026,31,20.739,0.033,1.268,0.36718,0.027,39.8271,-34.3928
J023918.7-343606,29,21.278,0.022,29,20.542,0.03,1.038,0.59782,0.026,39.8279,-34.6017
J023919.4-342729,31,21.243,0.02,31,20.651,0.03,3.772,0.57484,0.026,39.8308,-34.4581
J023919.8-345145,31,21.13,0.021,31,20.505,0.028,1.1,0.39015,0.027,39.8325,-34.8625
J023919.9-342022,31,21.512,0.027,31,20.77,0.036,1.699,0.59527,0.026,39.8329,-34.3394
J023920.5-343124,31,21.416,0.026,31,20.86,0.036,2.889,0.58372,0.025,39.8354,-34.5233
J023920.7-345520,30,21.212,0.02,30,20.888,0.033,1.551,0.68058,0.029,39.8362,-34.9222
J023920.8-344126,31,21.419,0.026,31,20.699,0.035,1.951,0.58345,0.026,39.8367,-34.6906
J023922.0-342009,31,21.395,0.025,31,20.953,0.037,1.78,0.37861,0.026,39.8417,-34.3358
J023922.5-344857,28,21.247,0.022,28,20.857,0.034,2.459,0.22927,0.027,39.8437,-34.8158
J023922.8-343546,31,21.624,0.026,31,21.263,0.042,1.848,0.57899,0.026,39.845,-34.5961
J023923.0-345143,31,21.494,0.026,31,20.919,0.038,1.782,0.27457,0.027,39.8458,-34.8619
J023923.3-343414,31,21.14,0.017,31,20.601,0.025,4.057,0.56844,0.025,39.8471,-34.5706
J023923.4-344540,29,21.603,0.026,29,20.886,0.036,3.459,0.55697,0.027,39.8475,-34.7611
J023923.7-343604,22,21.448,0.027,22,20.842,0.043,1.599,0.48273,0.026,39.8487,-34.6011
J023923.9-344758,30,21.424,0.023,30,20.894,0.034,3.767,0.36437,0.027,39.8496,-34.7994
J023924.3-343213,31,21.111,0.021,31,20.47,0.027,1.497,0.60533,0.024,39.8512,-34.5369
J023924.6-343251,25,21.489,0.032,28,20.349,0.034,1.556,0.31414,0.024,39.8525,-34.5475
J023924.8-343538,30,21.54,0.029,30,21.13,0.043,1.109,0.36301,0.025,39.8533,-34.5939
J023925.0-345444,30,21.387,0.023,30,20.72,0.033,2.379,0.58003,0.028,39.8542,-34.9122
J023925.7-343258,31,21.619,0.029,31,20.963,0.039,1.915,0.30638,0.024,39.8571,-34.5494
J023925.9-342059,31,21.347,0.024,31,20.88,0.033,1.7,0.21303,0.025,39.8579,-34.3497
J023926.6-341954,31,21.342,0.024,31,20.742,0.032,0.974,0.37077,0.025,39.8608,-34.3317
J023927.1-342427,28,21.076,0.019,28,21.057,0.038,2.876,0.56955,0.026,39.8629,-34.4075
J023927.1-345820,28,21.324,0.024,28,20.826,0.036,1.839,0.35855,0.029,39.8629,-34.9722
J023927.2-342220,31,21.255,0.023,31,20.656,0.035,4.29,0.35446,0.025,39.8633,-34.3722
J023927.3-343422,27,21.409,0.028,29,20.771,0.038,2.102,0.58807,0.025,39.8637,-34.5728
J023927.6-342124,26,21.486,0.027,26,20.943,0.041,2.685,0.60209,0.025,39.865,-34.3567
J023928.1-342655,24,21.45,0.03,17,20.838,0.041,2.604,0.36294,0.026,39.8671,-34.4486
J023929.5-344649,23,21.422,0.033,23,20.85,0.042,1.082,0.55673,0.026,39.8729,-34.7803
J023935.4-344232,31,21.466,0.024,29,20.863,0.038,1.235,0.37427,0.024,39.8975,-34.7089
J023935.9-345251,23,21.672,0.028,23,21.106,0.051,3.17,0.5347,0.027,39.8996,-34.8808
J023936.2-345546,33,21.185,0.018,33,20.821,0.03,2.848,0.58698,0.027,39.9008,-34.9294
J023936.6-345001,24,21.352,0.024,24,20.817,0.041,2.377,0.58668,0.026,39.9025,-34.8336
J023939.1-342741,14,21.156,0.02,14,20.569,0.047,5.084,0.53957,0.024,39.9129,-34.4614
J023939.9-343156,16,21.04,0.021,16,20.571,0.041,1.675,0.53215,0.024,39.9162,-34.5322
J023940.0-344938,32,21.412,0.022,32,20.671,0.03,2.219,0.54618,0.026,39.9167,-34.8272
J023940.7-344803,33,21.49,0.022,33,20.776,0.032,1.115,0.59347,0.025,39.9196,-34.8008
J023940.7-345718,34,21.182,0.018,34,20.767,0.028,0.949,0.42792,0.027,39.9196,-34.955
J023942.1-344330,33,21.156,0.018,33,20.434,0.025,1.118,0.37873,0.024,39.9254,-34.725
J023943.7-344853,31,21.406,0.02,31,20.81,0.033,4.709,0.55587,0.025,39.9321,-34.8147
J023943.8-344159,29,21.342,0.023,29,20.739,0.034,2.708,0.48566,0.024,39.9325,-34.6997
J023943.9-345313,15,21.062,0.03,15,20.364,0.05,1.307,0.36035,0.027,39.9329,-34.8869
J023944.7-343123,33,21.095,0.018,33,20.626,0.027,1.291,0.66529,0.024,39.9362,-34.5231
J023945.2-344314,34,21.206,0.019,34,20.769,0.031,5.034,0.5313,0.024,39.9383,-34.7206
J023945.4-345513,33,21.23,0.02,33,20.894,0.029,4.107,0.54338,0.027,39.9392,-34.9203
J023946.0-343651,16,21.33,0.027,16,20.952,0.055,2.074,0.45231,0.025,39.9417,-34.6142
J023946.4-344130,28,21.327,0.02,30,20.672,0.033,2.16,0.58283,0.024,39.9433,-34.6917
J023947.3-342836,31,21.047,0.019,32,20.505,0.025,2.401,0.54003,0.022,39.9471,-34.4767
J023947.5-344607,33,21.359,0.02,33,20.66,0.031,0.914,0.60488,0.025,39.9479,-34.7686
J023947.9-344734,15,21.273,0.024,15,20.737,0.057,2.708,0.54571,0.025,39.9496,-34.7928
J023948.1-343044,15,21.192,0.022,15,20.796,0.05,2.286,0.60799,0.022,39.9504,-34.5122
J023949.1-341935,33,21.529,0.018,33,20.58,0.028,4.701,0.35891,0.022,39.9546,-34.3264
J023949.3-344931,32,21.282,0.02,32,20.751,0.031,4.183,0.60522,0.026,39.9554,-34.8253
J023950.2-345117,27,21.326,0.022,27,20.794,0.038,1.674,0.28219,0.027,39.9592,-34.8547
J023952.1-345859,34,21.27,0.021,34,20.827,0.031,1.423,0.59911,0.027,39.9671,-34.9831
J023952.2-345132,34,21.511,0.022,34,20.874,0.033,1.452,0.60819,0.027,39.9675,-34.8589
J023953.2-345810,32,21.364,0.02,32,20.79,0.03,2.388,0.58228,0.027,39.9717,-34.9694
J023954.2-345714,34,21.386,0.023,34,20.861,0.031,2.837,0.57336,0.027,39.9758,-34.9539
J023954.8-343601,34,20.99,0.016,34,20.506,0.025,2.502,0.57469,0.025,39.9783,-34.6003
J023955.1-343056,33,21.098,0.019,33,20.413,0.024,1.506,0.60635,0.022,39.9796,-34.5156
J023956.2-345752,34,21.232,0.019,34,20.652,0.029,2.029,0.62764,0.027,39.9842,-34.9644
J023956.7-344838,34,21.352,0.021,34,20.741,0.032,1.346,0.62357,0.024,39.9862,-34.8106
J023956.9-344557,32,21.223,0.02,32,20.772,0.032,1.104,0.66851,0.024,39.9871,-34.7658
J023957.0-344722,33,21.402,0.022,33,20.951,0.039,2.725,0.56381,0.024,39.9875,-34.7894
J023957.4-342558,14,21.145,0.022,14,20.594,0.045,4.753,0.5304,0.02,39.9892,-34.4328
J023957.5-344555,34,21.353,0.023,34,20.757,0.032,1.826,0.37903,0.024,39.9896,-34.7653
J023957.5-344722,34,21.029,0.015,34,20.614,0.027,1.102,0.62915,0.024,39.9896,-34.7894
J023957.7-344028,33,21.239,0.021,33,20.66,0.03,3.35,0.37119,0.024,39.9904,-34.6744
J023957.7-344340,33,21.319,0.02,33,20.73,0.031,1.098,0.54618,0.024,39.9904,-34.7278
J023957.9-344448,29,21.456,0.019,29,20.825,0.037,1.885,0.60097,0.024,39.9912,-34.7467
J023958.5-343224,33,21.393,0.021,33,20.906,0.033,2.607,0.59631,0.023,39.9937,-34.54
J023959.2-342930,31,21.498,0.024,31,20.969,0.037,2.044,0.52005,0.021,39.9967,-34.4917
J023959.7-345452,34,21.396,0.019,34,20.696,0.03,2.675,0.58734,0.028,39.9987,-34.9144
J024000.2-344820,15,21.252,0.024,15,20.736,0.055,3.608,0.60169,0.024,40.0008,-34.8056
J024000.2-345830,34,21.49,0.024,34,20.936,0.037,1.198,0.4302,0.027,40.0008,-34.975
J024000.7-344834,34,21.465,0.023,34,20.891,0.035,1.295,0.35392,0.024,40.0029,-34.8094
J024000.9-344930,32,21.51,0.023,32,20.876,0.037,1.299,0.25035,0.025,40.0037,-34.825
J024001.3-341855,33,20.954,0.019,33,19.899,0.019,0.991,0.22549,0.023,40.0054,-34.3153
J024002.4-345738,34,21.285,0.021,34,20.786,0.031,4.052,0.56122,0.027,40.01,-34.9606
J024002.9-343500,34,25.2,0.021,34,18.248,0.034,1.242,0.56713,0.025,40.0121,-34.5833
