FBW,o_Vmag,Vmag,e_Vmag,o_Icmag,Icmag,e_Icmag,WS,Period,E(B-V),_RA,_DE
J024050.4-342919,15,21.076,0.02,14,20.591,0.044,1.417,0.29547,0.021,40.21,-34.4886
J024051.5-342525,14,21.137,0.021,14,20.685,0.046,2.559,0.58453,0.021,40.2146,-34.4236
J024051.5-345332,30,21.446,0.025,30,20.902,0.034,2.292,0.5711,0.025,40.2146,-34.8922
J024052.5-344357,33,21.403,0.022,34,20.727,0.03,0.953,0.35433,0.024,40.2187,-34.7325
J024054.9-345003,33,21.452,0.022,34,20.991,0.034,1.718,0.53585,0.024,40.2287,-34.8342
J024055.2-345157,26,21.385,0.024,27,20.895,0.039,1.729,0.56743,0.025,40.23,-34.8658
J024055.6-345755,34,21.279,0.021,34,20.674,0.027,0.917,0.38629,0.025,40.2317,-34.9653
J024055.9-344956,33,21.098,0.019,34,20.673,0.027,1.261,0.30182,0.024,40.2329,-34.8322
J024058.3-344552,31,20.8,0.015,25,20.059,0.02,3.073,0.48111,0.024,40.2429,-34.7644
J024058.6-344741,33,21.27,0.021,34,20.812,0.029,2.23,0.62489,0.024,40.2442,-34.7947
J024059.1-344334,33,21.337,0.021,33,20.832,0.032,1.086,0.40338,0.024,40.2462,-34.7261
J024100.6-345613,33,21.373,0.022,34,20.834,0.031,3.525,0.5613,0.025,40.2525,-34.9369
J024101.3-344839,33,21.481,0.024,34,20.807,0.033,1.482,0.34513,0.024,40.2554,-34.8108
J024101.6-345622,33,21.361,0.021,34,20.92,0.033,2.172,0.35589,0.025,40.2567,-34.9394
J024103.1-345550,33,21.337,0.022,34,20.835,0.028,1.781,0.36591,0.025,40.2629,-34.9306
J024106.5-344911,33,21.453,0.024,34,20.91,0.034,2.66,0.5271,0.024,40.2771,-34.8197
J023916.2-342404,31,21.729,0.026,31,21.049,0.039,1.045,0.55549,0.027,39.8175,-34.4011
J023938.8-343749,24,21.512,0.029,24,21.032,0.046,3.106,0.60253,0.025,39.9117,-34.6303
J023939.3-342711,33,21.434,0.025,33,20.957,0.035,2.77,0.56782,0.024,39.9137,-34.4531
J023940.2-342104,33,21.385,0.021,33,20.777,0.031,1.458,0.64033,0.023,39.9175,-34.3511
J023940.2-343523,14,21.386,0.026,14,20.823,0.055,4.178,0.57367,0.025,39.9175,-34.5897
J023940.6-343238,17,21.276,0.024,17,20.815,0.045,2.401,0.60773,0.024,39.9192,-34.5439
J023940.6-343650,34,21.364,0.023,34,20.738,0.029,1.723,0.62468,0.025,39.9192,-34.6139
J023941.1-341925,34,21.332,0.019,34,20.928,0.03,0.969,0.40623,0.023,39.9212,-34.3236
J023941.1-343557,15,21.584,0.033,15,21.189,0.068,1.025,0.61441,0.025,39.9212,-34.5992
J023941.4-342954,31,21.432,0.022,31,20.911,0.035,1.935,0.54211,0.023,39.9225,-34.4983
J023941.4-343653,31,21.418,0.025,31,20.937,0.039,1.553,0.63125,0.025,39.9225,-34.6147
