FBW,o_Vmag,Vmag,e_Vmag,o_V-Ic,V-Ic,e_V-Ic,E(B-V),OName,n_FBW,_RA,_DE
J024011.0-342904,34,18.198,0.018,34,1.662,0.023,0.021,,?,40.0458,-34.4844
J024011.7-343245,33,18.454,0.022,33,2.394,0.026,0.022,"S108, DK60",,40.0487,-34.5458
J024012.2-343009,34,18.659,0.023,34,2.121,0.027,0.021,"S109, DK59",?,40.0508,-34.5025
J024014.1-345828,33,17.379,0.012,33,2.050,0.017,0.027,DK2,,40.0587,-34.9744
J024015.6-343403,34,19.358,0.043,34,3.208,0.046,0.024,"S115, DK65",,40.0650,-34.5675
J024017.1-342211,34,17.986,0.014,34,1.826,0.019,0.020,"S116, DK49",,40.0712,-34.3697
J024017.7-342735,32,19.987,0.052,32,3.345,0.056,0.020,,,40.0737,-34.4597
J024019.0-341846,31,18.458,0.019,31,2.445,0.024,0.022,S119,,40.0792,-34.3128
J024019.3-344214,30,19.396,0.036,30,1.135,0.048,0.024,,,40.0804,-34.7039
J024019.9-343309,34,18.398,0.019,34,2.053,0.024,0.024,"S122, DI19",,40.0829,-34.5525
J024022.6-344037,32,18.222,0.016,32,2.052,0.021,0.025,S124,,40.0942,-34.6769
J024025.0-342858,34,18.536,0.022,33,2.189,0.037,0.020,"S131, DK56",,40.1042,-34.4828
J024031.2-342844,15,20.062,0.034,15,3.068,0.050,0.020,,,40.1300,-34.4789
J024031.9-342048,15,18.893,0.017,15,2.397,0.027,0.021,"S134, DI10",,40.1329,-34.3467
J024039.1-343533,15,18.847,0.017,14,1.929,0.029,0.024,DI23,,40.1629,-34.5925
J024039.2-345741,34,18.091,0.015,34,1.857,0.021,0.026,,,40.1633,-34.9614
J024039.8-343133,15,18.178,0.014,14,1.694,0.024,0.022,DK58,?,40.1658,-34.5258
J024045.9-343454,14,17.855,0.014,14,1.650,0.024,0.023,DI22,?,40.1912,-34.5817
J024048.3-343536,14,17.375,0.013,11,1.922,0.021,0.023,S144,?,40.2012,-34.5933
J024052.2-343723,15,18.370,0.015,14,2.100,0.025,0.023,DK23,?,40.2175,-34.6231
J024103.5-344805,33,20.412,0.097,34,3.793,0.101,0.024,,,40.2646,-34.8014
J024110.8-343151,14,18.513,0.015,13,2.107,0.025,0.022,"S153, DI16",,40.2950,-34.5308
J024111.5-345504,29,18.392,0.018,30,2.280,0.023,0.025,,,40.2979,-34.9178
