source_id,pf,int_average_g,int_average_bp,int_average_rp,ra,dec,parallax,bp_rp
5062159402661953024,0.9654801970894626,20.125057220458984,20.188068389892578,19.436100006103516,39.359148675119386,-34.686645224587636,-0.2985849230818552,0.7293949127197266
5062106694822930048,0.48715320211004615,20.365596771240234,20.371313095092773,20.08039093017578,39.53022464142409,-34.85643697788188,-0.13324859348136076,0.26112937927246094
5062264513399315584,0.6629742119473261,20.526721954345703,,,39.745950109551224,-34.3357019462011,-2.4279736321888032,0.8962841033935547
5062257847614773376,,20.605512619018555,20.311359405517578,19.30452537536621,39.77506906568405,-34.50053389164413,-3.1157390962084586,0.9936237335205078
5062264406022337280,,20.801467895507812,20.643545150756836,20.033246994018555,39.80951301247788,-34.323897358241624,-1.001525782670413,0.5591964721679688
5062260939987442816,0.5543225450938517,20.8682918548584,,,39.8177778434832,-34.40114619975032,,0.040599822998046875
5062110646193025664,0.4931983987747576,20.475725173950195,20.440147399902344,19.950166702270508,39.82246992038019,-34.77671233602462,0.5573061443613639,0.3641242980957031
5062309932676607744,0.5922167794359958,19.967758178710938,19.918174743652344,19.47268295288086,39.88852936272337,-34.03372494704404,-0.22818370616297698,0.2841529846191406
5062269186327360768,,20.591920852661133,,,39.95325068121703,-34.26174566508598,0.7566009335075177,0.28063201904296875
5062221250191079296,0.5039329191851567,20.327699661254883,20.315034866333008,19.779966354370117,40.04860776210966,-34.30087110116871,0.391249296858962,0.4728260040283203
5062221765587357952,0.8273347818548958,20.080068588256836,20.154743194580078,19.50236701965332,40.077670289609884,-34.25355856510415,0.2735179795858175,0.4864540100097656
5062241080054159872,0.5910043458347974,20.09430503845215,20.20376968383789,19.540800094604492,40.202029548579404,-34.292512521354745,0.3756058934435982,0.505126953125
5062240702098342784,0.5619894649519652,20.961631774902344,,,40.20569990163159,-34.336793805392716,,0.1873931884765625
5062251864718727680,0.777765889985308,20.761699676513672,20.365934371948242,18.956809997558594,40.4541847971949,-34.065911241043764,-0.4367554648188158,0.5836334228515625
